schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,treatment,model,scenario,evaluation_pass,collection_fraction
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,43f16ff4892d62035d6f3344b683801d4cefcafe1ea6ce01871bed1a5141ebde,0,201,0,199,0,0,0,0.09107589721679688,0.14830827713012673,0.6330013275146484,,,,,,,,,,102007,202007,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.10180473327636719,0.12521743774414057,0.4322528839111328,,,,,,,,,,102008,202008,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.10216236114501953,0.12425184249877927,0.48804283142089844,,,,,,,,,,102008,202008,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,2,2,1,0,14,0.0,False,killed,310a30d11552525ce4a1064c625b8dcf8e05ac2e35035d925059e99cebca0b64,1,1,1,4,5,2,0,0.0680685043334961,0.23162364959716789,0.38504600524902344,,,,,,,,,,102009,202009,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,2,2,1,0,14,0.0,False,killed,310a30d11552525ce4a1064c625b8dcf8e05ac2e35035d925059e99cebca0b64,1,1,1,4,5,2,0,0.07152557373046875,0.2344369888305663,0.4169940948486328,,,,,,,,,,102009,202009,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.1087188720703125,0.13093948364257807,0.4191398620605469,,,,,,,,,,102010,202010,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.10895729064941406,0.13809204101562494,0.6809234619140625,,,,,,,,,,102010,202010,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,1,1,9,1,4,54,0,2,400,0.005,True,step_limit,61e935594e41d4461d791fb3c8990aa70781b0453be0ab5618427f5e6afefdbb,80,80,78,79,29,54,0,0.06890296936035156,0.15403032302856445,0.4401206970214844,,,,,,,,,,102011,202011,unmasked,r1,classic,primary,0.1111111111111111
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,1,1,9,1,4,54,0,2,400,0.005,True,step_limit,61e935594e41d4461d791fb3c8990aa70781b0453be0ab5618427f5e6afefdbb,80,80,78,79,29,54,0,0.06985664367675781,0.1540780067443847,0.5183219909667969,,,,,,,,,,102011,202011,unmasked,r1,classic,repeat,0.1111111111111111
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,5,5,0,0,9,0,1,1,1,3,5,0.6,False,killed,9aed3a69174f7bd317c58df01775810be8b21f64fba3138fa76aad2bae529a24,0,0,1,2,1,1,0,0.28586387634277344,1.335334777832031,1.5301704406738281,,,,,,,,,,102012,202012,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,5,5,0,0,9,0,1,1,1,3,5,0.6,False,killed,9aed3a69174f7bd317c58df01775810be8b21f64fba3138fa76aad2bae529a24,0,0,1,2,1,1,0,0.06771087646484375,0.31976699829101557,0.3771781921386719,,,,,,,,,,102012,202012,unmasked,r1,classic,repeat,0.0
