artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,3.1,0.275,0.2472222222222222,0.175,0.225,0.7,1.175,7.952966058665152,9.59522601176545
control-r1,3.025,0.2,0.28055555555555556,0.1,0.525,0.4,1.725,12.93156365837899,8.748017124039755
control-r2,2.65,0.125,0.28055555555555556,0.025,0.55,0.325,1.675,14.79036264445436,7.728982530669023
control-r3,3.175,0.225,0.26944444444444443,0.15,0.325,0.6,1.3,9.182316373778367,8.386699689892405
treatment-r1,2.9,0.25,0.25277777777777777,0.125,0.45,0.45,1.3,8.352054022934679,8.729526221594218
treatment-r2,2.6,0.075,0.2611111111111111,0.05,0.275,0.625,0.9,8.324645901521725,8.966340140955435
treatment-r3,2.6,0.125,0.26111111111111107,0.05,0.25,0.6,1.2,9.386760859789812,8.643963091379645
