artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,100,1.63,0.04,0.75,0.19,1.43,0.1589,0.63
control-r1@4000,control,4000,100,2.82,0.08,0.62,0.24,2.42,0.2689,1.04
control-r2@4000,control,4000,100,2.72,0.13,0.62,0.31,2.07,0.23,0.95
control-r3@4000,control,4000,100,2.91,0.11,0.57,0.23,2.36,0.2622,1.16
halved-r1@4000,halved,4000,100,3.31,0.15,0.45,0.45,2.56,0.2844,0.91
halved-r2@4000,halved,4000,100,2.75,0.09,0.45,0.4,2.3,0.2556,0.91
halved-r3@4000,halved,4000,100,2.6,0.08,0.65,0.24,2.2,0.2444,1.3
