model,training_world_seed,agent_seed,evaluation_episodes,mean_coins,mean_collection_fraction,std_collection_fraction,full_clear_count,full_clear_rate,zero_coin_count,zero_coin_rate,total_coins,steps_per_coin,coins_per_100_steps,invalid_actions,attempted_actions,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,mean_episode_p95_ms,max_decision_time_ms,model_sha256
run-01,11006,21006,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.6065,38.36562440053712,2,5213,0.0003836562440053712,1282,1305,1350,1272,4,0,0.030071437358856194,0.7798671722412109,4e1da63a819ef8f51b112ffaf422ab251b853915375fe486538be8595b988307
run-02,11007,21007,40,45.3,0.906,0.2185828482257049,26,0.65,0,0.0,1812,4.97626931567329,20.09537540201841,6,9017,0.0006654097815237884,1924,2614,1990,2489,0,0,0.028446614742279046,0.5679130554199219,d34a821e18416a21c75e39d2970feea9a710c7aea6e9c959170ca80a5c175911
run-03,11008,21008,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.6135,38.26286588865506,0,5227,0.0,1261,1351,1323,1292,0,0,0.030010044574737542,0.34809112548828125,0b4fb766fc192cc25bae8c3db82209bf4272d4dbde72cb04fa6de3bc636d718d
run-04,11009,21009,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.6245,38.10249571346923,1,5249,0.00019051247856734617,1294,1322,1362,1268,3,0,0.029875934123992913,0.3426074981689453,9523e9ad55356e33aff1f7c76504d6ab413d084dbcf4ac01fdcadb143673ad21
run-05,11010,21010,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.6305,38.015586390420076,6,5261,0.0011404675917126021,1278,1378,1338,1267,0,0,0.030568540096282952,0.3857612609863281,d86538940c80ad898385665f9a5592b41f2d97c34f34c920508d616686c403c4
aggregate,,,200,49.06,0.9812000000000001,0.10384836258728541,186,0.93,0,0.0,9812,3.054117407256421,32.74268361864718,15,29967,0.0005005506056662329,7039,7970,7363,7588,7,0,0.029794514179229733,0.7798671722412109,
