arm,scenario,episodes,mean_collection_fraction,mean_crates_destroyed,self_kill_rate,survival_rate,invalid_action_rate,decision_time_p95_ms_max,decision_time_max_ms_max
control,classic,200,0.0016666666666666666,1.175,0.145,0.855,0.025899950528184383,0.9644746780395503,19.6530818939209
control,coin-heaven,200,1.0,0.0,0.0,1.0,0.0005781460782424359,1.0169506072998051,11.293172836303711
control,loot-crate,200,0.0012,1.145,0.09,0.91,0.03943584828152814,1.1400222778320295,23.569107055664062
candidate,classic,200,0.005,7.07,0.595,0.405,0.12646477380167895,1.4099597930908199,13.180017471313477
candidate,coin-heaven,200,1.0,0.0,0.0,1.0,0.0005781460782424359,1.0875463485717753,9.180784225463867
candidate,loot-crate,200,0.0023,3.795,0.36,0.64,0.19174441725298255,1.729989051818847,50.52804946899414
