replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r4,classic,186318,286318,0.2222222222222222,0,0,2,0,0.2980709075927734,0.6861686706542969,589fd051d0353ce78aff32b0af8a72dbabf260275055d5af1cd4e263dfcba551,True
r4,classic,186319,286319,0.3333333333333333,0,0,3,1,0.3020763397216797,0.48732757568359375,799ef25a76d9f3b5d22f23d702f331eefea0bb3d9e07e5e956d5602a430f8c93,True
r4,classic,186320,286320,0.2222222222222222,0,0,2,5,0.31783580780029297,0.6728172302246094,4cb572d03ee7026f56698f2e9d001fbc136a50d64a9930056181edc896069838,True
r4,coin-heaven,186401,286401,1.0,0,0,50,0,0.4000663757324218,0.5140304565429688,36eefbba6b8765e8d6ea3b2b3f2eddd67f04ac4d5913ff1497690d3185a7ef44,True
r4,coin-heaven,186402,286402,1.0,0,0,50,0,0.3778815269470213,0.7770061492919922,448b852286ded453935eebd4118e95888c2a22385432c94765aaa1d0696486c1,True
r4,coin-heaven,186403,286403,1.0,0,0,50,0,0.4451274871826171,0.5500316619873047,c3d3ccb0f9b75f45d65d4d9f812085f89bdfcdd6eb7bbe77f4d69045014f9407,True
r4,coin-heaven,186404,286404,1.0,0,0,50,0,0.47049522399902344,0.7331371307373047,4a135740b376e06af3858b4900412f6724aaa134081d133330ab071b4d9e2659,True
r4,coin-heaven,186405,286405,1.0,0,0,50,0,0.41234493255615234,0.5047321319580078,5ff0cae918eacb920420ed839d9660348022e79de19d03fa075a1cb62f156ba8,True
r4,coin-heaven,186406,286406,1.0,0,0,50,0,0.4678964614868164,0.8249282836914062,c62ca0db1c14d4db7ca034c9193f32f8a3fb59a0d8a53b67fe4e88ee4be44e39,True
r4,coin-heaven,186407,286407,1.0,0,0,50,0,0.42688846588134755,0.5519390106201172,b29cf7bf3c439ad6310341b9e51190f912c9d418bd436ee7695d002711bed838,True
r4,coin-heaven,186408,286408,1.0,0,0,50,0,0.41825771331787087,1.0161399841308594,ee1e1ee822683af4e23c5de6c48c141a6e6e6949045ed56f6ad95979fd329b38,True
r4,coin-heaven,186409,286409,1.0,0,0,50,0,0.47606229782104487,0.6928443908691406,ca14f5cec9fe0f9341d25700033e56a568f72c1579fae94d7cac3a70e6a4a27e,True
r4,coin-heaven,186410,286410,1.0,0,0,50,0,0.6480693817138669,0.9500980377197266,85824d31540ee8f61a22bc70a35f209acaa0bd31d416164fc2022d24747abdde,True
r4,coin-heaven,186411,286411,1.0,0,0,50,0,0.4239082336425781,0.7011890411376953,342128bc0bf8f481daf7c81d164aec4c074d7db06f7c0815e02eaaac33b4646e,True
r4,coin-heaven,186412,286412,1.0,0,0,50,0,0.507354736328125,0.6451606750488281,adb037104a0dd2c3b30581cfc6e846256d65e813d26dcb68d7e42239faaa12af,True
