model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,primary,31016,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.611561300000176,1,1,DagobertDuckDQN,evaluation,133,133,50,50,1,133,0.007518796992481203,True,survived,2641faa38ae01eef397b7bbc0e4d234e27edd056111c5a8708969384c520b4ac,39,25,30,39,0,0,0,0.2777576446533203,0.4496097564697265,0.9398460388183594,,,,,,,,,
run-01,primary,31017,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.61487930000294,1,1,DagobertDuckDQN,evaluation,400,400,40,40,0,400,0.0,True,step_limit,0d7df92816b565e21cbdb60b1d85bdf6520b1945028dadcf62477d3ac827bfd6,173,20,181,26,0,0,0,0.26679039001464844,0.3680348396301266,1.6713142395019531,,,,,,,,,
run-01,primary,31018,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,5.041177300008712,1,1,DagobertDuckDQN,evaluation,400,400,1,1,0,400,0.0,True,step_limit,22dca40840b524fe41c5c274828b562e7f37bd5ddabfcf44dc084a9cbb6fcfb9,201,0,199,0,0,0,0,0.29659271240234375,0.5033493041992188,0.9341239929199219,,,,,,,,,
run-01,primary,31019,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,6.223155999992741,1,1,DagobertDuckDQN,evaluation,400,400,48,48,289,400,0.7225,True,step_limit,4fc5b13bd88dc56c92374182936e5b4770732d0b26cd221c68b1800085893b0d,17,38,318,27,0,0,0,0.2747774124145508,0.41846036911010737,1.8773078918457031,,,,,,,,,
run-01,primary,31020,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.284828000003472,1,1,DagobertDuckDQN,evaluation,400,400,29,29,335,400,0.8375,True,step_limit,588dbe66575522133ffec31ee83ffec0d501e15830e38808ba140acb56ab59e5,19,16,356,9,0,0,0,0.2683401107788086,0.33662319183349587,0.9691715240478516,,,,,,,,,
run-01,primary,31021,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.247951199999079,1,1,DagobertDuckDQN,evaluation,400,400,35,35,0,400,0.0,True,step_limit,befc2309d2f66e6759bf4743b9298fc321304b1331026cff5944cab2c13f8399,183,29,169,19,0,0,0,0.2624988555908203,0.3550529479980468,0.9999275207519531,,,,,,,,,
run-01,primary,31022,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.139988100010669,1,1,DagobertDuckDQN,evaluation,109,109,50,50,0,109,0.0,True,survived,da7c5053be27de6d59eded4c7870454eea97f59bcd9bd22fa1150d008b656d48,26,34,28,21,0,0,0,0.2675056457519531,0.38752555847167963,0.9407997131347656,,,,,,,,,
run-01,primary,31023,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.3492705000098795,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,3516b118f7e8d887958b4240a2f22c36f6834ead0d39cc2f6de0fa3fd7759e4f,25,45,38,31,0,0,0,0.34546852111816406,0.5246400833129883,1.2116432189941406,,,,,,,,,
run-01,primary,31024,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.31023030000506,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,cca80203dba074d9d36be43ab9765b1916fbecab28c11d6e5e2b69ab5e497350,31,38,32,28,0,0,0,0.2727508544921875,0.37155151367187494,0.9174346923828125,,,,,,,,,
run-01,primary,31025,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.307740499993088,1,1,DagobertDuckDQN,evaluation,400,400,38,38,0,400,0.0,True,step_limit,823e35e0e69576d3025ce05ddff9d8822f4da9a85bab1497f6e0ff03067cc964,189,19,175,17,0,0,0,0.26702880859375,0.34404993057250954,0.9469985961914062,,,,,,,,,
