treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
candidate,r2,peaceful,224116,324116,0.5555555555555556,0,0,5,4,1.8280625343322754,4.227876663208008,8bc4dd5741b5ae99c7596aaef9f937d87810917e2b5e75d1e88dd2977e13e524,True
candidate,r2,peaceful,224117,324117,0.5555555555555556,1,0,10,6,1.0108113288879377,2.344846725463867,f93fbcdbb9c66c7c6816230891ee8354219c8a658b41bd60f4ba75fa6b0f5ab2,False
candidate,r2,peaceful,224118,324118,0.8888888888888888,0,0,8,10,0.9609103202819809,1.9500255584716797,c6fddd0be6fca90768f85094f872f373167385202dd4c137d73ad9ea40b7cadf,True
candidate,r2,peaceful,224119,324119,0.3333333333333333,0,0,3,3,1.030802726745605,6.535053253173828,fe44f383cbae3f3ca4dd61161c21f9d8fc488fb636742a37d87da328e592b110,True
candidate,r2,peaceful,224120,324120,0.3333333333333333,0,0,3,0,1.110970973968505,1.9850730895996094,912bae0e9e62a716d818bb406ae4e91c219b4029760c6d63eab3bf3dae06cf09,False
candidate,r2,coincollector,224201,324201,0.4444444444444444,0,0,4,10,0.5432605743408202,1.0559558868408203,369a2445672dc1a32480bcd49f3bb8cb7610780bfd2d77c75dfb649de0e64b52,False
candidate,r2,coincollector,224202,324202,0.6666666666666666,0,0,6,11,0.26017427444458,0.8990764617919922,951a7ec6aeedc14e0f34f000335d469c951fc64b9054014a76f9b37bd9fc732b,True
candidate,r2,coincollector,224203,324203,0.0,0,0,0,0,0.2921104431152343,0.4172325134277344,56de80fb6efd9cc0c13cff7680a41c8dab173783af438ac019d6887213068f73,False
candidate,r2,coincollector,224224,324224,0.2222222222222222,0,0,2,19,0.7579445838928223,0.9832382202148438,60777a60e5a64ea18d6c08fbf77ed22d9fc7a304b69074c2e873a451678a2d4b,False
candidate,r2,coincollector,224205,324205,0.2222222222222222,0,1,2,8,0.3619194030761719,0.47898292541503906,d9360d3753645a87af486e7b732cdfd2eed9b57435260eb302bc072e21610963,False
candidate,r2,coincollector,224206,324206,0.0,0,1,0,2,0.2599120140075683,0.2999305725097656,41048c680057b0d584fff865095e04c70232e2c3313e5d6e0f44db3c15863e02,False
candidate,r2,coincollector,224207,324207,0.4444444444444444,0,0,4,1,0.3400444984436035,0.4680156707763672,98ed9b1a4d3c8ab6ae0caa0e1b9b8207be05c61502bfdf868463dd6286cec2b2,False
candidate,r2,coincollector,224208,324208,0.0,0,1,0,4,0.23984909057617188,0.29969215393066406,9f55d1307f6bdc743601f7c593c5805a70d839b5dac24eac3b28a147aa787e1f,False
candidate,r2,coincollector,224209,324209,0.5555555555555556,0,0,5,12,0.35190582275390625,0.7092952728271484,29f1c907a123cbe82c461b968063e08773d8fd6e379b567da127662eaa7c0536,False
candidate,r2,coincollector,224210,324210,0.3333333333333333,0,0,3,3,0.2599239349365234,0.5919933319091797,495ee80e8b27bf5b5b73919532f84848c8c3789ae260d1d35d81288aa35d9cd6,False
candidate,r2,coincollector,224211,324211,0.4444444444444444,0,0,4,8,0.5392670631408689,1.1279582977294922,554e977d11a69067cc6af1516f6bf94e361594a65eeb153a93551ddfb4fd4ffc,False
candidate,r2,coincollector,224212,324212,0.2222222222222222,0,1,2,8,0.6260871887207031,1.0039806365966797,f03996e674e5242403064b96e856f7c9222c16eb1777d9e227d699c2ab59c81e,False
candidate,r2,coincollector,224213,324213,0.0,0,1,0,3,0.2964019775390624,0.5099773406982422,77824120528adff8cc3e3d85805e0207cdabaf0ff2431bdf93c673ddd44ee5c0,False
candidate,r2,coincollector,224214,324214,0.1111111111111111,0,0,1,8,0.4239320755004883,0.6067752838134766,b239e6803ed79a003ada356f06aaf5fbb36a0fac33640e8c3792251dfe8564dd,False
candidate,r2,coincollector,224215,324215,0.1111111111111111,0,1,1,5,0.34713745117187483,0.5679130554199219,dfbc534c91b9a5738cbef48cbd6b60dd90801adb7a9a7a03ab96523eee4234be,False
candidate,r2,coincollector,224216,324216,0.1111111111111111,0,0,1,1,0.2613544464111325,0.3902912139892578,15c76f4026fd273d9b90bea310294af3082b8fd363f7fee4ab86def7287d1013,True
candidate,r2,coincollector,224217,324217,0.2222222222222222,0,0,2,5,0.6593465805053708,1.8622875213623047,9fdfc0a172ee2074de1a598783fd606fecbf4fb2e22cf1dfac27c4c94437348b,False
candidate,r2,coincollector,224218,324218,0.0,0,0,0,29,0.7621049880981444,2.2110939025878906,a992188872daed0d9e6241048a1bfe76915230eba259cf80556b9b98f3141ab7,False
candidate,r2,coincollector,224219,324219,0.1111111111111111,0,0,1,2,0.30560493469238265,0.8780956268310547,599dda75e4ab6b83d1ba3d48a709616cf9b4f671c2df065e0fc3ea3e543e1b2b,True
candidate,r2,coincollector,224220,324220,0.2222222222222222,0,0,2,43,0.9259700775146322,3.0341148376464844,74e9c597ff0993ceb48efc648d8e3f27ebf7c4d7ad754114896fa2cf4efb843c,False
candidate,r2,classic,224301,324301,0.3333333333333333,0,0,3,34,0.6916403770446771,2.1059513092041016,2619a0c17711dcb2ce6899002a43397f746fec1ce0f553a6d2b215d675756034,True
candidate,r2,classic,224302,324302,0.0,0,0,0,0,0.6516933441162085,1.7669200897216797,9850775d72f003053e32acac9db877cf777f4d06b91dc22dd7baa82743864b3c,True
candidate,r2,classic,224303,324303,0.0,0,0,0,0,0.6243586540222158,3.3919811248779297,00518d41516abd8c4133acadce0807489a678ef80040f9e57e13e36c97ce7e02,True
candidate,r2,classic,224324,324324,0.0,0,0,0,0,0.7068037986755363,3.226041793823242,be4fe80f32d46ae07115a2d5468785906cbb0023c60166405ff9c69465b71b45,True
candidate,r2,classic,224305,324305,0.0,0,0,0,0,0.32879114151000977,0.7309913635253906,9850775d72f003053e32acac9db877cf777f4d06b91dc22dd7baa82743864b3c,True
candidate,r2,classic,224306,324306,0.4444444444444444,0,0,4,16,0.6919026374816895,1.3270378112792969,dc6f3f08d156fce512d8240999e86a538808d0c2b71efa032f45091a80e00a6f,True
candidate,r2,classic,224307,324307,0.4444444444444444,0,0,4,1,0.43530464172363265,1.2030601501464844,60d7b12254b3b3e282e7c348ce76106e294338e89119491ad6387ad8c1190764,True
candidate,r2,classic,224308,324308,0.0,0,0,0,0,0.6146192550659175,1.3051033020019531,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb,True
candidate,r2,classic,224309,324309,0.4444444444444444,0,0,4,2,0.5920886993408202,2.063274383544922,4930814175822297824df83f468ddb57d02414f186dbe41e907025e92d9835a1,True
candidate,r2,classic,224310,324310,0.0,0,0,0,0,0.5196213722229001,3.1578540802001953,2e49624fc605f12809be39a9ba603f43cef2f603fecffe78c673b9be897d6d69,True
candidate,r2,classic,224311,324311,0.0,0,0,0,0,0.5622982978820797,1.2900829315185547,0fd9da995f11a2350dc2fef7d509cbb557708b6a9af818dbf0e6e2e5369f4d5f,True
candidate,r2,classic,224312,324312,0.0,0,0,0,0,0.5132198333740224,2.5048255920410156,9850775d72f003053e32acac9db877cf777f4d06b91dc22dd7baa82743864b3c,True
candidate,r2,classic,224313,324313,0.1111111111111111,0,0,1,0,0.45570135116577076,2.6769638061523438,ef15c74e64b11f5b5078c4dead387efee95ec1c86c42d667d8fafd93f06155fd,True
candidate,r2,classic,224314,324314,0.2222222222222222,0,0,2,2,0.6474614143371579,3.049135208129883,5849b9e3a576f0eb2d6ee919a1611b6259e4162d3c71fbed41cf1ebe8c32463b,True
candidate,r2,classic,224315,324315,0.3333333333333333,0,0,3,1,0.6453394889831542,2.476930618286133,d0dacabb6288db4d4511b62ef3718b076f0037bf3d90f0ff1f6e02bb7ad1e318,True
candidate,r2,classic,224316,324316,0.3333333333333333,0,0,3,4,0.9790420532226561,3.3731460571289062,fe25375ab7c3de9077f0924c8d46e2cda5b8e2a492048a3826f20c1e04ae2b2a,True
candidate,r2,classic,224317,324317,0.3333333333333333,0,0,3,0,0.4954814910888669,1.5070438385009766,46de711c342e1a64fb5fee9e94489ae344db2d5af127de0c20c0754b6b36af71,True
candidate,r2,classic,224318,324318,0.4444444444444444,0,0,4,0,0.4903554916381832,1.007080078125,5fb9b3d1bb49d0e5e2dd41a0f12d273551712d6d05d3cf96f37db77f89bafddc,True
candidate,r2,classic,224319,324319,0.0,0,0,0,0,0.638067722320556,6.268978118896484,50c97cca08ed143b4c13d62301d4382de39a08c37405d9d814d3f33bfbec3e7e,True
candidate,r2,classic,224320,324320,0.1111111111111111,0,0,1,0,0.3713250160217282,1.3091564178466797,45461f1def9e6bb80644c41764ee26b6945bdf5e29cb55852ef056a4921da334,True
candidate,r2,coin-heaven,224401,324401,1.0,0,0,50,0,0.33006668090820307,0.46372413635253906,8529fb259bdadc554f554290e25ed9f6a3c3a2fddc10a6bc5d73c5e30323a942,True
candidate,r2,coin-heaven,224402,324402,1.0,0,0,50,0,0.3911495208740234,0.9889602661132812,8407c61071e0109d916f22a96c889b258907f6a1de729d4d1a047393c3e9bc1f,True
candidate,r2,coin-heaven,224403,324403,1.0,0,0,50,0,0.7315635681152342,1.3477802276611328,ed784568977cb2eb5073dfc54d10c4beb9c89f3091efad58665fdff219ac2dd8,True
candidate,r2,coin-heaven,224404,324404,1.0,0,0,50,0,0.5350112915039062,1.1377334594726562,b241c90f50ed3da1527ebbf173f2b07d2829e2130ff8abbde9f1c7c3aaa585b3,True
candidate,r2,coin-heaven,224405,324405,1.0,0,0,50,0,0.6626844406127929,1.8029212951660156,dc3ac7ea72cb8467e6c637efb8c0572c51686132b4e73393daa9f5a16a91feb0,True
candidate,r2,coin-heaven,224406,324406,1.0,0,0,50,0,0.7464647293090821,1.543283462524414,5acade4be9656c3826c2dd11a08828796b0d2f8dbf166adc727668f9a2c20ef9,True
candidate,r2,coin-heaven,224407,324407,1.0,0,0,50,0,0.7243633270263672,1.4190673828125,da8241a8dc5c114468d20ef4bd6e7836ebc5673c0ef4b86a3968e2966f09ebbe,True
