treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r4,classic,220301,320301,0.3333333333333333,0,0,3,14,0.2781391143798827,0.5018711090087891,44e85f36ee17d43affcdd31201ef3c9ee2bea5f7027fd6fce4478b7f1c4f7f0e,True
control,r4,classic,220302,320302,0.5555555555555556,0,0,5,5,0.39128065109252924,0.5490779876708984,13f299cf4a83e9974c8c8afc1e8a12f532c2243534214c98e086d493081b1517,True
control,r4,classic,220303,320303,0.0,0,0,0,42,0.3221511840820312,0.5061626434326172,3ac6e2248e1e1a5f9c9cec5a045f342829f655b70a2e6bdb281b66293ed47483,True
control,r4,classic,220304,320304,0.3333333333333333,0,1,3,3,0.2866268157958985,0.5071163177490234,9943b157ab1e08f1531cb0110443c2c23ae0bf8426da10c445c402243cb7e0e5,True
control,r4,classic,220305,320305,0.6666666666666666,0,0,6,6,0.516557693481445,1.8489360809326172,5c8d3fce1cebdb398acd61250adcdf24ae0b95ed0cf183cf76f7cabaf581cd64,True
control,r4,classic,220306,320306,0.1111111111111111,0,0,1,0,0.31325817108154297,241907.08899497986,ab2fc35ce7cd7f95cb355916f6230036467ecdbc88080c80b7b5b4bd21dbda11,False
control,r4,classic,220307,320307,0.3333333333333333,0,0,3,0,0.3100037574768066,0.7910728454589844,2438fb161850ef7cc397478f693d33e0b53b6138d361b16af1cfc8a4645e7fe4,True
control,r4,classic,220308,320308,0.0,0,0,0,0,0.31495094299316406,0.7832050323486328,09a2a17a93e73bd009a2e835ae5447b57f039e2a179db3bdd82d56daea0c9f0b,True
control,r4,classic,220309,320309,0.3333333333333333,0,0,3,14,0.19358396530151303,0.5047321319580078,4f56af6fb47337bf56fcd914aac212a578739557ed5d5f994c495f5aa2b3ddc1,True
control,r4,classic,220310,320310,0.1111111111111111,0,0,1,45,0.1380443572998047,0.31495094299316406,7b5d6b8966d2d807f36fe1fe085e13ea2340a02633e38e0ccb5c2cf184298eff,True
control,r4,classic,220311,320311,0.7777777777777778,0,0,7,3,0.1491069793701171,0.2601146697998047,455b944d5a50432102e5f790fa0a94d6e18a361be7e7ec99f5cad86fbec770d8,True
control,r4,classic,220312,320312,0.5555555555555556,0,0,5,4,0.13589859008789062,0.2551078796386719,ae90d12a5adc8cc7c5c57065c1f36ee9a6a7141f6ae7bbac45767ad013449bc6,True
control,r4,classic,220313,320313,0.4444444444444444,0,0,4,1,0.13117790222167963,0.4112720489501953,30833153394a64bea95295b7e43595cecb7a5f253fee6c640bb2ed3738244840,True
control,r4,classic,220314,320314,0.0,0,0,0,0,0.10805130004882808,0.26297569274902344,b0b6af7a71cc67a62f675531ecd037511b4106c5222900a99b43f3a346ccdef0,True
control,r4,classic,220315,320315,0.1111111111111111,0,0,1,1,0.16882419586181638,0.2770423889160156,367fad3a04c409362d834738e081aa303ff546adbe67359cd453e46605ef69ba,True
control,r4,classic,220316,320316,0.1111111111111111,0,0,1,1,0.11801719665527344,0.25391578674316406,98b3098e86b8c08fcb6fbde71f880c5a771abec8a0be9912951c91b6b0004105,True
control,r4,classic,220317,320317,0.4444444444444444,0,0,4,0,0.14011859893798814,0.9849071502685547,128a8261c15ff5230b815778616409a49edde3555be5fd3a1a0716be36667dc9,True
control,r4,classic,220318,320318,0.0,0,0,0,0,0.12092590332031246,0.26798248291015625,0850c5beaaf0d3d2a23f6bcb55e2ee3a463c932f5ea663985db669a6e8a0efa5,True
control,r4,classic,220319,320319,0.3333333333333333,0,0,3,6,0.23894309997558588,0.6082057952880859,99ee53d92270c810ce418d8849c523563b2f0fa91050cb465a0775bdcdc2b50a,True
control,r4,classic,220320,320320,0.0,0,0,0,0,0.12233257293701169,0.27489662170410156,fa2c07e130dbcb8d9406d62aa96285ef8d16345eed8d8826a155d22ede5316e1,True
control,r4,coin-heaven,220401,320401,1.0,0,0,50,0,0.2785325050354004,0.3609657287597656,163b2ce2b1cd0e19de5a68529ed41976e02a88d02f6e3116158b13a1f508bd4f,True
control,r4,coin-heaven,220402,320402,1.0,0,0,50,0,0.11774301528930663,0.2779960632324219,aa14b2f9767f977782e59cec05a5832c695019a0a286546aa9945c39c01c2656,True
control,r4,coin-heaven,220403,320403,1.0,0,0,50,0,0.23794174194335932,0.3342628479003906,37724d43a47ecde6f2b5bd8c036af1cef51506a3e6817db1c74db3fa9430bc7f,True
