suite,phase,world_seed,agent_seed,score,coins_collected,initially_available_coins,collection_fraction,self_kills,opponents_eliminated,survived,termination_reason,executed_action_sequence_sha256,first_place,tied_first,decision_time_p95_ms,decision_time_max_ms
classic,repeat,230306,330306,2.0,2,9,0.2222222222222222,0,0,True,step_limit,7ed930d196ab680cbf28bc8b969fae79a6de261e82be975a0f568eaeccafe715,False,False,0.15529394149780265,0.3509521484375
classic,repeat,230307,330307,0.0,0,9,0.0,0,0,True,step_limit,80f0d5f4c8d8b44414ce6bde35be54117849ed931f783dd7166865e09821e1fb,False,False,0.15044212341308572,0.5319118499755859
classic,repeat,230308,330308,3.0,3,9,0.3333333333333333,0,0,True,step_limit,2293e3f8a9f4821611f076b345862c37cb0813688a8cbf8816d56b1ec1782aa1,False,False,0.23236274719238267,0.4439353942871094
classic,repeat,230309,330309,4.0,4,9,0.4444444444444444,0,0,True,step_limit,bbdf82fc5d8f18c978e20138762085ce39211b0e0e0d46ce80c611da96e0b33b,False,False,0.164031982421875,0.5869865417480469
classic,repeat,230310,330310,0.0,0,9,0.0,0,0,True,step_limit,b879b82f88476c1dad91bc3d27e3d684f5597c8270c46593bef560864b1cbcd9,False,False,0.20525455474853496,0.7610321044921875
classic,repeat,230311,330311,6.0,6,9,0.6666666666666666,0,0,True,step_limit,c454e9ef138a7b55994713ac8fafbfdc4a1af6bd897328d6d55ee2af83a0c361,False,False,0.23326873779296867,0.39768218994140625
classic,repeat,230312,330312,3.0,3,9,0.3333333333333333,0,0,True,step_limit,3e0d0847873255a123665dd22f5e214c3605051092fe841e943a7b07bc0296e3,False,False,0.18812417984008767,0.4558563232421875
classic,repeat,230313,330313,3.0,3,9,0.3333333333333333,0,0,True,step_limit,f63f734a71e2e1c97a5cc98c3f0a639f6178593c974cd7d42c23ff1a19db50bf,False,False,0.1609325408935547,0.36215782165527344
classic,repeat,230314,330314,0.0,0,9,0.0,0,0,True,step_limit,c7b6bf41093416b2b1606fdfff9666bdc7d917553dda04c8527a93cf88507a06,False,False,0.12544393539428708,0.2758502960205078
classic,repeat,230315,330315,2.0,2,9,0.2222222222222222,0,0,True,step_limit,9d784d240d39178e6f4d742a32e4e1e5880d3e390e592fa949e08c6c157ebae1,False,False,0.13208389282226562,0.6248950958251953
classic,repeat,230316,330316,0.0,0,9,0.0,0,0,True,step_limit,cd978bf38bd407efda192b52b47d225e480ad1897d80934b1eaf1c2db51d5f94,False,False,0.16527175903320307,0.3581047058105469
classic,repeat,230317,330317,2.0,2,9,0.2222222222222222,0,0,True,step_limit,0ab2c7f111d7f690e4d48ded4eeb393ae2eb1b40dd169c97791ae3ce94382b4d,False,False,0.1552462577819824,0.3161430358886719
classic,repeat,230318,330318,1.0,1,9,0.1111111111111111,0,0,True,step_limit,e4bb652ef8ca641a18ac8a9e42fb3ec6ec64658ba412182ecf4fb59ddf11c7dd,False,False,0.1270890235900879,0.2608299255371094
classic,repeat,230319,330319,0.0,0,9,0.0,0,0,True,step_limit,0452fbd738ea4b4717d561db47e6d61ea40c8c0032d984944eca921ea1eabb9e,False,False,0.13027191162109367,0.29015541076660156
classic,repeat,230320,330320,4.0,4,9,0.4444444444444444,1,0,False,killed,0745c835c708a420f938d55a0b8d954c71ac242e019ecfd00cf4807c2a5aad49,False,False,0.2215027809143066,0.4279613494873047
coin-heaven,primary,230401,330401,50.0,50,50,1.0,0,0,True,survived,0ee46636c6f80c86583649afeb71a366c2d846ac900439767e0ff2de78fc6be5,False,False,0.29563903808593744,0.5850791931152344
coin-heaven,primary,230402,330402,50.0,50,50,1.0,0,0,True,survived,716e4b64837c826ee214965fabb0509cbd25bbbe9a8273c243e26880b9103928,False,False,0.18959045410156247,0.4570484161376953
coin-heaven,primary,230403,330403,50.0,50,50,1.0,0,0,True,survived,471b838df738d4cbbd9b40952a812b90c22cfd21efc38dfdda722af565ac30e1,False,False,0.1617312431335449,0.2880096435546875
coin-heaven,primary,230404,330404,50.0,50,50,1.0,0,0,True,survived,eeddde7a507e6bb47d41d7d7a08aa4c0b08ace2aa2a7f2226c4cd624c5994ca2,False,False,0.1685619354248047,0.308990478515625
coin-heaven,primary,230405,330405,50.0,50,50,1.0,0,0,True,survived,f974811f9d213638f703d5b3df05b68f9ef66ea7e13197ceb86ed54ac710c127,False,False,0.17483234405517561,0.2751350402832031
coin-heaven,primary,230406,330406,50.0,50,50,1.0,0,0,True,survived,793820ccd180ed4741546c48957a8bf1087e5fc249cdb4e0d946e758df82723c,False,False,0.16906261444091786,0.41294097900390625
coin-heaven,primary,230407,330407,50.0,50,50,1.0,0,0,True,survived,31010af1296ad51a65a2b0d2890c13a813ab55a843733133c29631fe420ca923,False,False,0.193202495574951,0.2951622009277344
coin-heaven,primary,230408,330408,50.0,50,50,1.0,0,0,True,survived,590dbfd2eae81b81d92bbb3dc397e7fd7d6de42031f641bbca4080744e523c56,False,False,0.15985965728759766,0.3161430358886719
coin-heaven,primary,230409,330409,50.0,50,50,1.0,0,0,True,survived,b84127383102ead4536e7a71741262ebc0487755d01aeb51f63b9e287f75ac72,False,False,0.3243684768676756,0.7889270782470703
coin-heaven,primary,230410,330410,50.0,50,50,1.0,0,0,True,survived,8c89b41d22c94584f4fb7274fcac9fa17a71812d47ba203f38fa145d5d0483ce,False,False,0.3657579421997069,1.271963119506836
coin-heaven,primary,230411,330411,50.0,50,50,1.0,0,0,True,survived,abbb2a08299298b8acbe04ab0d55c2d48acb31933c3f1f22a1c0049a976d4f20,False,False,0.261843204498291,0.5457401275634766
coin-heaven,primary,230412,330412,50.0,50,50,1.0,0,0,True,survived,1e277e3a1748f62b02187de61bc6ae7a42f3c8e4b724de300974c8caff52fddb,False,False,0.20830631256103513,0.4191398620605469
coin-heaven,primary,230413,330413,50.0,50,50,1.0,0,0,True,survived,63e73974cf937eb5ea84df2bb01ac121ede56778bf1bb585d4cb6cb47ee1ca17,False,False,0.16882419586181638,0.2930164337158203
coin-heaven,primary,230414,330414,50.0,50,50,1.0,0,0,True,survived,61a30eb47c6412259d4c5cebd27b8228fa3c08ce2f2c9a9dbe4890d38d2fd48f,False,False,0.27889013290405246,0.6649494171142578
coin-heaven,primary,230415,330415,50.0,50,50,1.0,0,0,True,survived,3789da26bd4fea5b74c299075a939cf6fb34fa55f6a8af9883d0c1c979717abb,False,False,0.1999258995056152,0.4379749298095703
coin-heaven,primary,230416,330416,50.0,50,50,1.0,0,0,True,survived,ab05b282ab9c50d2922de3d00173f4e601ef756862d470ea0cd7f8099953ff22,False,False,0.5688667297363282,0.9570121765136719
coin-heaven,primary,230417,330417,50.0,50,50,1.0,0,0,True,survived,1f13a74d2c460244f8d1a53c5797addd0e33c93ac7ea91392a05b56227be2e85,False,False,0.29282569885253895,0.7691383361816406
coin-heaven,primary,230418,330418,50.0,50,50,1.0,0,0,True,survived,d9a8cc27367e15a15596de032f9b08da0049cd094a4ce5dd6adac0e71aef2152,False,False,0.26774406433105413,0.5843639373779297
coin-heaven,primary,230419,330419,50.0,50,50,1.0,0,0,True,survived,f575c1b7f70e846c0cc594d0a4616b42ab9eb12fdc1701ccc8a4e777e5b7d549,False,False,0.24299621582031253,0.5660057067871094
coin-heaven,primary,230420,330420,50.0,50,50,1.0,0,0,True,survived,b5c956b5b02b40d1a86d0b054a5255858f1ddc23a1494d905c9e6efd7a5cbee7,False,False,0.2060413360595703,1.0900497436523438
coin-heaven,repeat,230401,330401,50.0,50,50,1.0,0,0,True,survived,0ee46636c6f80c86583649afeb71a366c2d846ac900439767e0ff2de78fc6be5,False,False,0.2957940101623535,0.4489421844482422
coin-heaven,repeat,230402,330402,50.0,50,50,1.0,0,0,True,survived,716e4b64837c826ee214965fabb0509cbd25bbbe9a8273c243e26880b9103928,False,False,0.1809120178222656,0.2880096435546875
coin-heaven,repeat,230403,330403,50.0,50,50,1.0,0,0,True,survived,471b838df738d4cbbd9b40952a812b90c22cfd21efc38dfdda722af565ac30e1,False,False,0.15394687652587882,0.3509521484375
coin-heaven,repeat,230404,330404,50.0,50,50,1.0,0,0,True,survived,eeddde7a507e6bb47d41d7d7a08aa4c0b08ace2aa2a7f2226c4cd624c5994ca2,False,False,0.1914501190185547,0.3991127014160156
coin-heaven,repeat,230405,330405,50.0,50,50,1.0,0,0,True,survived,f974811f9d213638f703d5b3df05b68f9ef66ea7e13197ceb86ed54ac710c127,False,False,0.2518415451049803,0.7879734039306641
coin-heaven,repeat,230406,330406,50.0,50,50,1.0,0,0,True,survived,793820ccd180ed4741546c48957a8bf1087e5fc249cdb4e0d946e758df82723c,False,False,0.370025634765625,1.5993118286132812
coin-heaven,repeat,230407,330407,50.0,50,50,1.0,0,0,True,survived,31010af1296ad51a65a2b0d2890c13a813ab55a843733133c29631fe420ca923,False,False,0.3601431846618649,1.0221004486083984
coin-heaven,repeat,230408,330408,50.0,50,50,1.0,0,0,True,survived,590dbfd2eae81b81d92bbb3dc397e7fd7d6de42031f641bbca4080744e523c56,False,False,0.17499923706054688,0.7579326629638672
coin-heaven,repeat,230409,330409,50.0,50,50,1.0,0,0,True,survived,b84127383102ead4536e7a71741262ebc0487755d01aeb51f63b9e287f75ac72,False,False,0.37317276000976524,1.069784164428711
coin-heaven,repeat,230410,330410,50.0,50,50,1.0,0,0,True,survived,8c89b41d22c94584f4fb7274fcac9fa17a71812d47ba203f38fa145d5d0483ce,False,False,0.3778576850891111,2.198934555053711
coin-heaven,repeat,230411,330411,50.0,50,50,1.0,0,0,True,survived,abbb2a08299298b8acbe04ab0d55c2d48acb31933c3f1f22a1c0049a976d4f20,False,False,0.2566814422607421,0.6511211395263672
coin-heaven,repeat,230412,330412,50.0,50,50,1.0,0,0,True,survived,1e277e3a1748f62b02187de61bc6ae7a42f3c8e4b724de300974c8caff52fddb,False,False,0.17799139022827143,0.3209114074707031
coin-heaven,repeat,230413,330413,50.0,50,50,1.0,0,0,True,survived,63e73974cf937eb5ea84df2bb01ac121ede56778bf1bb585d4cb6cb47ee1ca17,False,False,0.6273746490478516,1.4190673828125
coin-heaven,repeat,230414,330414,50.0,50,50,1.0,0,0,True,survived,61a30eb47c6412259d4c5cebd27b8228fa3c08ce2f2c9a9dbe4890d38d2fd48f,False,False,0.3428101539611814,0.8418560028076172
coin-heaven,repeat,230415,330415,50.0,50,50,1.0,0,0,True,survived,3789da26bd4fea5b74c299075a939cf6fb34fa55f6a8af9883d0c1c979717abb,False,False,0.20356178283691406,0.5781650543212891
coin-heaven,repeat,230416,330416,50.0,50,50,1.0,0,0,True,survived,ab05b282ab9c50d2922de3d00173f4e601ef756862d470ea0cd7f8099953ff22,False,False,0.308942794799805,0.9741783142089844
coin-heaven,repeat,230417,330417,50.0,50,50,1.0,0,0,True,survived,1f13a74d2c460244f8d1a53c5797addd0e33c93ac7ea91392a05b56227be2e85,False,False,0.2833366394042969,0.34117698669433594
coin-heaven,repeat,230418,330418,50.0,50,50,1.0,0,0,True,survived,d9a8cc27367e15a15596de032f9b08da0049cd094a4ce5dd6adac0e71aef2152,False,False,0.572848320007324,1.2118816375732422
coin-heaven,repeat,230419,330419,50.0,50,50,1.0,0,0,True,survived,f575c1b7f70e846c0cc594d0a4616b42ab9eb12fdc1701ccc8a4e777e5b7d549,False,False,0.46199560165405273,0.8499622344970703
