schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,cell,model,scenario,collection_fraction
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,1,1,9,2,7,2,,0,1,400,0.0025,True,step_limit,2b24adb0a3ea612cfff27b0a1b430e0bce69d8085d55c48fe9459d1fcead6155,4,194,3,194,3,2,0,1.8799304962158203,2.0498156547546387,2.777576446533203,,,,,,,,,,,,,,,,29100014,39100014,A,r1,classic,0.1111111111111111
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,3,3,9,4,65,28,,0,193,400,0.4825,True,step_limit,9f709918f0b8031281061d777421c49f1613f41b5cadeeab74c5b841647311a1,40,214,24,36,56,30,0,1.7031431198120117,4.608237743377683,8.603096008300781,,,,,,,,,,,,,,,,29100015,39100015,A,r1,classic,0.3333333333333333
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,1,16,7,,0,1,400,0.0025,True,step_limit,83200ec5545c44f4770d9b4998582d99c7c55d9e7c1979e7a96e228c1e7327d8,10,183,8,178,13,8,0,3.1943321228027344,5.863010883331296,6.893634796142578,,,,,,,,,,,,,,,,29100016,39100016,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,1,11,4,,0,0,400,0.0,True,step_limit,2d5387c384e39bb3e82e520e7e6c329af3d2c4c9451a84098601373f80293e95,4,3,3,3,383,4,0,2.267599105834961,2.5962114334106445,3.1473636627197266,,,,,,,,,,,,,,,,29100017,39100017,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,354,354,4,4,9,6,98,48,,1,7,354,0.01977401129943503,False,killed,9f635459700077f6ac255716544f3a9a4d22b05563efbec02b550c633cdc87a7,64,61,54,46,77,52,0,2.996683120727539,7.921230792999262,10.32257080078125,,,,,,,,,,,,,,,,29100018,39100018,A,r1,classic,0.4444444444444444
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,9,9,9,9,109,53,,0,24,400,0.06,True,step_limit,bc17a7db4bde7f976d49db3ec80c402078d83df28e7c028a1d306c06496f5f9b,74,60,61,70,66,69,0,3.16011905670166,8.883750438690186,11.30986213684082,,,,,,,,,,,,,,,,29100019,39100019,A,r1,classic,1.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,1,7,3,,0,0,400,0.0,True,step_limit,93db3312306f5dcbf8db4d88d3f6b1bc45113045bd1cbce90ea80e875950bb02,3,192,3,191,8,3,0,2.0012855529785156,2.2909760475158683,4.315376281738281,,,,,,,,,,,,,,,,29100020,39100020,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,9,7,90,53,,0,18,400,0.045,True,step_limit,42a7b3f67f1b7f74bf909c8a7d3fe4a2ca3bb9eb6f3f1984ecc8e234f8a30390,56,75,66,59,76,68,0,2.855539321899414,7.874941825866698,10.70094108581543,,,,,,,,,,,,,,,,29100021,39100021,A,r1,classic,0.7777777777777778
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,3,3,9,4,26,9,,0,6,400,0.015,True,step_limit,400f4012929618bf7103e68fb824866f5b73a00e5771a1dce4977f33a84ebf4c,13,175,8,180,14,10,0,3.363966941833496,4.0656328201293945,5.173921585083008,,,,,,,,,,,,,,,,29100022,39100022,A,r1,classic,0.3333333333333333
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,2,2,9,3,32,17,,0,4,400,0.01,True,step_limit,dc669cc4a4938e3dcfa510549d7cd7ee082e2ed9c834e9fd7bb9e1f342ed16a1,21,158,15,157,29,20,0,4.534006118774414,7.391750812530517,8.576154708862305,,,,,,,,,,,,,,,,29100023,39100023,A,r1,classic,0.2222222222222222
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,9,7,99,54,,0,19,400,0.0475,True,step_limit,ebc99a8e0a8d780b33e716f165ce07c89b13363db923003a0ff19155374ba9bb,74,66,71,53,69,67,0,3.081798553466797,7.912862300872799,10.79869270324707,,,,,,,,,,,,,,,,29100024,39100024,A,r1,classic,0.7777777777777778
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,9,8,111,54,,0,24,400,0.06,True,step_limit,3f66045f52a9edec0f6041dea159f5b76ba044386d0fe5d44b9d65dc84bf3f6b,54,71,65,61,74,75,0,3.0225515365600586,7.888460159301758,11.158227920532227,,,,,,,,,,,,,,,,29100025,39100025,A,r1,classic,0.8888888888888888
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,1,1,9,1,17,54,,0,33,400,0.0825,True,step_limit,ea1407d94eb74b9e7d372c26c1971b83a160819c5c4eb9aa531653fc61a6274f,73,54,73,52,61,87,0,2.2521018981933594,5.421006679534912,6.433010101318359,,,,,,,,,,,,,,,,29100026,39100026,A,r1,classic,0.1111111111111111
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,0,13,55,,0,34,400,0.085,True,step_limit,625fc5205706d896d5238a0ee5d38c623500091e61990aa574bacb3816dfafeb,71,53,73,53,61,89,0,2.121567726135254,5.111432075500488,6.140947341918945,,,,,,,,,,,,,,,,29100027,39100027,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,9,8,100,54,,0,20,400,0.05,True,step_limit,08ca81a6ae06216e32b4ea582b8916b738e8d416d9ff7167dc90fcb3d265e6c0,67,66,61,54,83,69,0,2.808809280395508,7.345533370971676,10.41555404663086,,,,,,,,,,,,,,,,29100028,39100028,A,r1,classic,0.8888888888888888
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,2,2,9,2,58,35,,0,7,400,0.0175,True,step_limit,727a3909f41f557c77431f66cbc3c6a682b88b6bfa5f8a2c9352c7d3921899d2,110,43,125,42,40,40,0,3.3251047134399414,5.84380626678466,9.310245513916016,,,,,,,,,,,,,,,,29100029,39100029,A,r1,classic,0.2222222222222222
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,9,8,96,52,,0,18,400,0.045,True,step_limit,48947fd7952e2eb8ab838eb5091d9c2e68ddd7aeb4ea2cd66fff4bb6fb502d90,66,64,79,56,69,66,0,2.9124021530151367,7.626974582672118,10.448217391967773,,,,,,,,,,,,,,,,29100030,39100030,A,r1,classic,0.8888888888888888
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,0,13,55,,0,34,400,0.085,True,step_limit,3f2b7b1f22fa7d39a36e7e8a8da5c7dd800170b2c1e817a9c93d2e5069c927a1,71,55,72,53,60,89,0,1.9450187683105469,4.27628755569458,4.573822021484375,,,,,,,,,,,,,,,,29100031,39100031,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,9,7,87,54,,0,19,400,0.0475,True,step_limit,87ac7d99e37a79cfc96b6e56e70cf0e8d54ef16b9971314b7f69aada04f358c8,59,71,72,59,74,65,0,2.9398202896118164,7.4493527412414515,10.74838638305664,,,,,,,,,,,,,,,,29100032,39100032,A,r1,classic,0.7777777777777778
