stage,job,world_seed,agent_seed,repeat,behavior_epsilon,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
training,treatment-r1,1931301006,3931301,,0.0,4,1,0.4444444444444444,4,71,0,1,400,0,0,53
training,treatment-r1,1931301007,3931301,,1.0,0,0,0.0,0,0,0,0,7,1,0,1
training,treatment-r1,1931301008,3931301,,0.0,2,1,0.2222222222222222,2,65,0,1,400,0,0,54
training,treatment-r1,1931301009,3931301,,0.0,12,1,0.7777777777777778,7,90,1,1,400,0,1,54
training,treatment-r1,1931301010,3931301,,0.0,5,1,0.5555555555555556,5,81,0,1,400,0,0,52
training,treatment-r1,1931301011,3931301,,0.0,6,1,0.6666666666666666,6,84,0,1,400,0,0,52
training,treatment-r1,1931301012,3931301,,0.0,10,1,0.5555555555555556,5,71,1,1,400,0,0,51
training,treatment-r1,1931301013,3931301,,0.0,1,1,0.1111111111111111,1,14,0,1,400,0,0,6
training,treatment-r1,1931301014,3931301,,0.0,11,1,0.6666666666666666,6,84,1,1,400,0,0,52
training,treatment-r1,1931301015,3931301,,1.0,0,0,0.0,0,4,0,0,6,1,0,1
training,treatment-r1,1931301016,3931301,,0.0,1,1,0.1111111111111111,1,24,0,0,108,1,0,15
training,treatment-r1,1931301017,3931301,,0.0,12,1,0.7777777777777778,7,89,1,1,400,0,0,51
training,treatment-r1,1931301018,3931301,,0.0,3,1,0.3333333333333333,3,42,0,0,169,1,0,22
training,treatment-r1,1931301019,3931301,,0.0,2,1,0.2222222222222222,2,30,0,0,90,1,0,12
training,treatment-r1,1931301020,3931301,,1.0,0,0,0.0,0,2,0,0,5,1,0,1
training,treatment-r1,1931301021,3931301,,0.0,13,1,0.8888888888888888,8,90,1,1,400,0,0,52
training,treatment-r1,1931301022,3931301,,0.0,7,1,0.7777777777777778,7,102,0,1,400,0,0,49
training,treatment-r1,1931301023,3931301,,0.0,10,1,0.5555555555555556,5,91,1,1,400,0,0,52
training,treatment-r1,1931301024,3931301,,1.0,0,0,0.0,0,5,0,0,24,1,0,2
training,treatment-r1,1931301025,3931301,,0.0,14,1,1.0,9,116,1,1,400,0,0,52
training,treatment-r1,1931301026,3931301,,0.0,11,1,0.6666666666666666,6,95,1,1,400,0,0,54
training,treatment-r1,1931301027,3931301,,0.0,9,1,1.0,9,111,0,1,400,0,0,53
training,treatment-r1,1931301028,3931301,,0.0,2,1,0.2222222222222222,2,37,0,1,400,0,0,15
training,treatment-r1,1931301029,3931301,,1.0,0,0,0.0,0,2,0,0,5,1,0,1
training,treatment-r1,1931301030,3931301,,0.0,11,1,0.6666666666666666,6,94,1,1,400,0,0,52
training,treatment-r1,1931301031,3931301,,0.0,12,1,0.7777777777777778,7,101,1,1,400,0,0,52
training,treatment-r1,1931301032,3931301,,0.0,9,1,1.0,9,105,0,1,400,0,0,52
training,treatment-r1,1931301033,3931301,,0.0,3,1,0.3333333333333333,3,63,0,1,400,0,0,28
training,treatment-r1,1931301034,3931301,,0.0,2,1,0.2222222222222222,2,47,0,0,125,1,0,17
training,treatment-r1,1931301035,3931301,,1.0,0,0,0.0,0,2,0,0,10,1,0,1
training,treatment-r1,1931301036,3931301,,0.0,2,1,0.2222222222222222,2,40,0,0,110,1,0,15
training,treatment-r1,1931301037,3931301,,1.0,0,0,0.0,0,3,0,0,10,1,0,1
training,treatment-r1,1931301038,3931301,,0.0,5,1,0.5555555555555556,5,65,0,0,292,1,0,40
training,treatment-r1,1931301039,3931301,,0.0,7,1,0.7777777777777778,7,99,0,1,400,0,0,53
training,treatment-r1,1931301040,3931301,,0.0,11,1,0.6666666666666666,6,88,1,1,400,0,0,52
training,treatment-r1,1931301041,3931301,,0.0,11,1,0.6666666666666666,6,95,1,1,400,0,0,51
training,treatment-r1,1931301042,3931301,,0.0,3,1,0.3333333333333333,3,38,0,1,400,0,0,17
training,treatment-r1,1931301043,3931301,,0.0,7,1,0.7777777777777778,7,93,0,1,400,0,0,54
training,treatment-r1,1931301044,3931301,,1.0,0,0,0.0,0,2,0,0,6,1,0,1
training,treatment-r1,1931301045,3931301,,0.0,12,1,0.7777777777777778,7,72,1,1,400,0,1,39
training,treatment-r1,1931301046,3931301,,0.0,12,1,0.7777777777777778,7,90,1,1,400,0,0,53
training,treatment-r1,1931301047,3931301,,0.0,9,1,0.4444444444444444,4,74,1,1,400,0,0,32
training,treatment-r1,1931301048,3931301,,0.0,7,1,0.7777777777777778,7,60,0,1,400,0,0,28
training,treatment-r1,1931301049,3931301,,1.0,0,0,0.0,0,3,0,0,9,1,0,1
training,treatment-r1,1931301050,3931301,,0.0,2,1,0.2222222222222222,2,53,0,0,175,1,0,24
training,control-r2,1931302001,3931302,,0.0,5,1,0.5555555555555556,5,74,0,1,400,0,0,40
training,control-r2,1931302002,3931302,,1.0,0,0,0.0,0,4,0,0,9,1,0,1
training,control-r2,1931302003,3931302,,0.0,2,1,0.2222222222222222,2,24,0,0,87,1,0,12
training,control-r2,1931302004,3931302,,0.0,10,1,0.5555555555555556,5,82,1,1,400,0,0,47
training,control-r2,1931302005,3931302,,0.0,8,1,0.8888888888888888,8,85,0,1,400,0,0,52
