plan_id,run_id,kind,replica,stage_or_suite,world_seed,agent_seed,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-004,evaluation,r1,classic-repeat,71004,81004,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,20,20,0,0,9,0,6,3,1,1,20,0.05,False,killed,f91883d5608f4bb6651f29c6cd0400bc15cc4e9a898620e589a1c6bf028244d2,3,2,6,2,4,3,0,0.6328821182250977,0.8957624435424807,1.2540817260742188,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-005,evaluation,r1,classic-repeat,71005,81005,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,16,16,1,1,9,1,4,2,1,1,16,0.0625,False,killed,18a922a4e6e43166090474ccc3902ef1519fff3f439ad54cce17588e84da2bb8,2,2,6,2,1,3,0,0.5835294723510742,0.8050203323364258,1.169443130493164,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-006,evaluation,r1,classic-repeat,71006,81006,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,23,23,1,1,9,1,7,3,1,6,23,0.2608695652173913,False,killed,7b5de8ed4542f8582e6dea5ba3afea8997497d9d77181ddbcc185dcd3cc5fc3d,4,9,2,1,4,3,0,0.5433559417724609,0.9428977966308592,1.1758804321289062,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-007,evaluation,r1,classic-repeat,71007,81007,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,16,16,2,2,9,2,5,2,1,2,16,0.125,False,killed,3d79dfd9ca44f7d0e76bdf08090a6a8939f84f577b2aa04165b2e6596756651e,4,2,3,1,3,3,0,0.5074739456176758,0.9378790855407715,1.1565685272216797,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-008,evaluation,r1,classic-repeat,71008,81008,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,0,0,9,1,3,1,0,0,400,0.0,True,step_limit,69acd4836bd5234e1eaba7a717648a5f55218d326be289be73f5a8307bdc8e1e,1,1,1,0,396,1,0,0.4258155822753906,0.5478739738464351,1.1985301971435547,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-009,evaluation,r1,classic-repeat,71009,81009,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,21,21,0,0,9,0,8,3,1,3,21,0.14285714285714285,False,killed,34608ff1a398794556d295904cc4e377139f90d08860cf52d8359d7e1f2ef02b,4,7,1,3,3,3,0,0.5180835723876953,0.9791851043701172,1.5218257904052734,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-classic-repeat-seed-010,evaluation,r1,classic-repeat,71010,81010,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,29,29,0,0,9,0,7,4,1,5,29,0.1724137931034483,False,killed,d4d0b9911f56b85f7ab10f6b7515fb4fe7ce1c149f7186666e74e4e45a57e886,6,6,7,1,5,4,0,0.5869865417480469,0.7813930511474609,1.3358592987060547,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-001,evaluation,r1,coin-heaven-primary,72001,82001,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,1,1,50,0,0,0,0,395,400,0.9875,True,step_limit,253ada995209035a982af1a22d6355406092f19db0fbd55ee1a43b012598d76c,5,395,0,0,0,0,0,0.5034208297729492,0.6251692771911621,1.209259033203125,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-002,evaluation,r1,coin-heaven-primary,72002,82002,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,8,8,50,0,0,0,0,387,400,0.9675,True,step_limit,5e4b3846ce3628eef2052f76a844a121c056592268ff2984480ed283f91c4cae,10,389,1,0,0,0,0,0.5621910095214844,0.7480740547180175,1.2614727020263672,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-003,evaluation,r1,coin-heaven-primary,72003,82003,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,8,8,50,0,0,0,0,0,400,0.0,True,step_limit,79cfabc715a8eea6cc40e3f2e86fc88ec400c71c5a60ef9910c6214922134c78,0,199,4,197,0,0,0,0.6164312362670898,0.7768154144287109,1.2097358703613281,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-004,evaluation,r1,coin-heaven-primary,72004,82004,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,13,13,50,0,0,0,0,1,400,0.0025,True,step_limit,d59771c725ea3612e57955049f95b5be3509ce74fb5e3ed2f100d0e139087ab0,11,195,4,190,0,0,0,0.609278678894043,0.7254004478454589,1.180410385131836,,,,,,,,,
