treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
candidate,r4,coin-heaven,210403,310403,0.04,0,1,2,0,0.25081634521484375,0.26297569274902344,4568a8643dcc445bf6a35e5bf258e3fcb88705716a11ac77c5a4221d947c6d87,True
candidate,r4,coin-heaven,210404,310404,1.0,0,0,50,0,0.40131807327270497,0.6988048553466797,69a3f73db208c7b5c1e19bfbd3d5768a744d9f4cdaf4a7319af1feb7b4e7a310,True
candidate,r4,coin-heaven,210405,310405,1.0,0,0,50,0,0.20184516906738278,0.39696693420410156,2124791a325ebb899c69fecfda106974dc71e494e17e557fe7f628b4fbd54da8,True
candidate,r4,coin-heaven,210406,310406,1.0,0,0,50,0,0.2855300903320312,0.5650520324707031,2f4b05af7a83d805685adc0b5be90849f66f37e25207dad499ed37742b7f8263,True
candidate,r4,coin-heaven,210407,310407,1.0,0,0,50,0,0.38423538208007807,1.1229515075683594,e292c9323f7ce570819a498543ec77d6b27205ea7272d6388621d885e0010cce,True
candidate,r4,coin-heaven,210408,310408,1.0,0,0,50,0,0.9004712104797362,1.6579627990722656,511cd8a6d8f27f1926bd21d6f6fe7d4a3eb1d66e5484229dfec3c9b0ff0e2e66,True
candidate,r4,coin-heaven,210409,310409,1.0,0,0,50,0,0.5265235900878905,1.4090538024902344,d5300b94c0c2ec82bbe8416cd8eea151a51aecaeebe17dad3edfb92cbeaa1322,True
candidate,r4,coin-heaven,210410,310410,1.0,0,0,50,0,0.18582344055175776,0.3390312194824219,56d824db8a7e6ddd0d4da36a3f119d62e890ccf08510e81993d7cb2db915e9e6,True
candidate,r4,coin-heaven,210411,310411,1.0,0,0,50,0,0.2777099609375,0.3342628479003906,7e449cc8acee15fb0045d856f457ad9048539436a4e768000be18e42bb2ed1a1,True
candidate,r4,coin-heaven,210412,310412,1.0,0,0,50,0,0.16241073608398438,0.7460117340087891,4738f7a2a8c9d6ac72e82ea3065651e155b87b014e695344903f585072be746f,True
candidate,r4,coin-heaven,210413,310413,1.0,0,0,50,0,0.47674179077148426,0.9911060333251953,5bb71eda63da4ab7d30938f50713c565620dd13ffc77bd40db616b91053f4d84,True
candidate,r4,coin-heaven,210414,310414,1.0,0,0,50,0,0.45244693756103505,1.0879039764404297,8a23a3fe22bac6690d9ac5f688e1b5e0de740fdd23c9b77eba0c3199f8c3cc5c,True
candidate,r4,coin-heaven,210415,310415,1.0,0,0,50,0,0.47466754913330056,0.9639263153076172,fe77a4f166ec7ffdb2c8549f84ea627b74c467d80231863c7c8faa286ee18f42,True
candidate,r4,coin-heaven,210416,310416,1.0,0,0,50,1,0.8313655853271483,1.0590553283691406,0fa7b874d383d636a2672560ae87b9900df987c0b72c2c08be0bba2091e6c4bf,True
candidate,r4,coin-heaven,210417,310417,1.0,0,0,50,0,0.47004222869873,1.0030269622802734,d6ae73b92f1aeb338912f0332b623aedc9a02ff7a3d3289912acd013fd4cb4fd,True
candidate,r4,coin-heaven,210418,310418,1.0,0,0,50,0,0.5984187126159668,1.0800361633300781,8c8d8fe6ca106b2be74be59f247e141c93ce622c9fd1b9061540aa3e592add62,True
candidate,r4,coin-heaven,210419,310419,1.0,0,0,50,0,0.8168816566467285,1.6798973083496094,1bdb1970f5fc9ef89e797a48b318b885d5e03fd4c0b74408e837e4d01d56be0f,True
candidate,r4,coin-heaven,210420,310420,1.0,0,0,50,0,0.23207664489746083,1.0609626770019531,87c7e412e96b6a87b54f11447947b996397a4b9c5f9fdad4d302889d40db3547,True
candidate,r4,loot-crate,210501,310501,0.0,0,0,0,366,0.5480885505676267,0.98419189453125,93ac9f7e628a0b23c3194240f1935030f818d5f19212d67f5ebd43e4bc16de03,True
candidate,r4,loot-crate,210502,310502,0.0,0,0,0,2,0.5459427833557127,1.2869834899902344,927890ffd8ce9b54d9f92aa572930fee638656d85711bdebfee54015d5b7ee62,True
candidate,r4,loot-crate,210503,310503,0.0,0,0,0,0,0.5573511123657223,1.898050308227539,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,True
candidate,r4,loot-crate,210504,310504,0.02,0,0,1,4,0.599265098571777,1.188039779663086,af17d895b0092f9aabf61fa9f5246004dc711f87c41c17fa3dc4c8e617c13feb,True
candidate,r4,loot-crate,210505,310505,0.0,0,1,0,3,0.6067752838134763,0.6890296936035156,c2ec52fec9a12509a424b27ac95071b8fd58c27b4e409795d2bd2c89268a44df,True
candidate,r4,loot-crate,210506,310506,0.0,0,0,0,0,0.3159761428832996,1.1150836944580078,8d9888d7b1add285bb1a3d03b00fb746524c713c24d707cec891aafcc29f4aff,True
candidate,r4,loot-crate,210507,310507,0.0,0,0,0,0,0.43832063674926725,2.079010009765625,3e39670ae18bd4bfa450749b087ca2221fa789a5c450facdeef92830c06089d9,True
candidate,r4,loot-crate,210508,310508,0.0,0,0,0,0,0.5579113960266113,0.9467601776123047,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,True
candidate,r4,loot-crate,210509,310509,0.04,0,0,2,5,0.5580902099609365,1.4410018920898438,f96d12f92d8887e6abce8c0336a3dbe6039ba63ab3f92aaf3211e066b3f96d95,True
candidate,r4,loot-crate,210510,310510,0.0,0,0,0,0,0.4234194755554195,1.3649463653564453,8d9888d7b1add285bb1a3d03b00fb746524c713c24d707cec891aafcc29f4aff,True
candidate,r4,loot-crate,210511,310511,0.0,0,0,0,2,0.43889284133911116,1.7588138580322266,c4ae0a0364e89b611149a59567f6f4d6609c5d2ebd717612299e05f44a2ada3a,True
candidate,r4,loot-crate,210512,310512,0.0,0,0,0,2,0.5879998207092285,6.672859191894531,c4ae0a0364e89b611149a59567f6f4d6609c5d2ebd717612299e05f44a2ada3a,True
candidate,r4,loot-crate,210513,310513,0.0,0,0,0,0,0.481140613555908,0.8211135864257812,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,True
candidate,r4,loot-crate,210514,310514,0.02,0,0,1,3,0.6738543510437004,1.3890266418457031,239d789cfde945ed0cd788ec15aae501f113a140923afc7b12810587797b901d,True
candidate,r4,loot-crate,210515,310515,0.0,0,0,0,392,0.8392453193664549,4.361152648925781,7af5421e02388a36044bd798cb3126d957c6fe5b40ac92396c059e0a9a9dca79,True
candidate,r4,loot-crate,210516,310516,0.0,0,0,0,0,0.48451423645019503,3.5500526428222656,3e39670ae18bd4bfa450749b087ca2221fa789a5c450facdeef92830c06089d9,True
candidate,r4,loot-crate,210517,310517,0.0,0,0,0,0,0.2810955047607422,0.8919239044189453,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,True
candidate,r4,loot-crate,210518,310518,0.0,0,0,0,0,0.2821087837219238,1.3339519500732422,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,True
