model,training_world_seed,agent_seed,evaluation_episodes,mean_coins,mean_collection_fraction,std_collection_fraction,full_clear_count,full_clear_rate,zero_coin_count,zero_coin_rate,total_coins,steps_per_coin,coins_per_100_steps,invalid_actions,attempted_actions,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,mean_episode_p95_ms,max_decision_time_ms,model_sha256
run-01,11006,21006,40,47.225,0.9445,0.21547740675187463,37,0.925,0,0.0,1889,3.2451032292218103,30.815660685154974,5,6130,0.0008156606851549756,1606,1500,1627,1397,0,0,0.030494034290313714,0.8149147033691406,6748dd5f92d8cc8edbdd5bd47c027083c43ad58c442c8a9f17e5d33412c3c28e
run-02,11007,21007,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.6465,37.78575477045154,0,5293,0.0,1315,1317,1376,1285,0,0,0.029313862323760986,0.3120899200439453,14debb66d7f717dcb97bf721a76fd36b6e9238fd97dbccc9876d6d48532380d7
run-03,11008,21008,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.6775,37.34827264239029,4,5355,0.0007469654528478057,1320,1391,1350,1294,0,0,0.029622614383697503,0.57220458984375,e67663aa8a7e1de0a617acf18aef32530a7cabaed29894a8e566a882ae03881e
run-04,11009,21009,40,32.675,0.6535,0.3903026439138657,18,0.45,0,0.0,1307,8.46442234123948,11.814155292416162,5,11063,0.00045195697369610415,796,4767,803,4697,0,0,0.02836197614669799,0.7562637329101562,8c83a01e45e431db252f92897733a3d412a6ea94ea8a22250d77145cc46b328b
run-05,11010,21010,40,50.0,1.0,0.0,40,1.0,0,0.0,2000,2.625,38.095238095238095,2,5250,0.00038095238095238096,1291,1314,1357,1288,0,0,0.030253231525421136,1.3070106506347656,64393eeb39298d4774eab0b71ce3f1b3a2dee7e12d83bf6b2c7884c41a214d0a
aggregate,,,200,45.98,0.9196,0.23918588889655715,175,0.875,0,0.0,9196,3.598412353197042,27.790033543863892,16,33091,0.00048351515517814514,6328,10289,6513,9961,0,0,0.029609143733978268,1.3070106506347656,
