candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
halved-r3@2000,kills,120,-0.0417,-0.125,0.0417
halved-r3@2000,self_kills,120,-0.15,-0.2833,-0.0167
halved-r3@2000,survived,120,0.1083,-0.0167,0.2417
halved-r3@2000,collection_fraction,120,-0.0009,-0.0315,0.0296
halved-r3@4000,score,120,0.3083,-0.225,0.8667
halved-r3@4000,kills,120,0.025,-0.0667,0.1167
halved-r3@4000,self_kills,120,-0.1,-0.225,0.025
halved-r3@4000,survived,120,0.0583,-0.0583,0.175
halved-r3@4000,collection_fraction,120,0.0204,-0.0083,0.0481
halved-r3@6000,score,120,0.0333,-0.475,0.55
halved-r3@6000,kills,120,-0.0333,-0.1083,0.0417
halved-r3@6000,self_kills,120,-0.0917,-0.225,0.0417
halved-r3@6000,survived,120,0.0583,-0.075,0.1833
halved-r3@6000,collection_fraction,120,0.0222,-0.0111,0.0546
halved@2000 (pooled),score,120,-0.0306,-0.4833,0.425
halved@2000 (pooled),kills,120,-0.0194,-0.0944,0.0528
halved@2000 (pooled),self_kills,120,-0.1417,-0.2472,-0.0361
halved@2000 (pooled),survived,120,0.1083,0.0028,0.2111
halved@2000 (pooled),collection_fraction,120,0.0074,-0.0179,0.034
halved@4000 (pooled),score,120,0.2611,-0.1889,0.7
halved@4000 (pooled),kills,120,0.0167,-0.0556,0.0833
halved@4000 (pooled),self_kills,120,-0.1194,-0.2167,-0.0167
halved@4000 (pooled),survived,120,0.0806,-0.0139,0.1722
halved@4000 (pooled),collection_fraction,120,0.0198,-0.0056,0.0454
halved@6000 (pooled),score,120,0.125,-0.3278,0.5556
halved@6000 (pooled),kills,120,-0.0222,-0.0944,0.0444
halved@6000 (pooled),self_kills,120,-0.1194,-0.2194,-0.0194
halved@6000 (pooled),survived,120,0.0944,-0.0056,0.1944
halved@6000 (pooled),collection_fraction,120,0.0262,-0.0,0.0531
