treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,152018,0,9,0.0,0,400,0,0.14400482177734375,0.3521442413330078,17fe56d3cca8ab00c40051f3cad3ef85f7a758998a80d060861c1320f4b43bb0,True,0.13184547424316406,0.2911090850830078,17fe56d3cca8ab00c40051f3cad3ef85f7a758998a80d060861c1320f4b43bb0
control,r1,classic,152019,0,9,0.0,1,27,0,0.19543170928955075,0.29969215393066406,2ce541fb938fe8147be3f06b44801e70f41a51c9a76ec4ef8a50b2704da233eb,True,0.9769201278686523,1.401662826538086,2ce541fb938fe8147be3f06b44801e70f41a51c9a76ec4ef8a50b2704da233eb
control,r1,classic,152020,1,9,0.1111111111111111,0,400,0,0.1554965972900388,1.1730194091796875,7091d42ad40f8e728076f66afe9c6ff78e3e0bce0a0f5e0c8858dcd7e71a6e12,True,0.17319917678832997,0.5719661712646484,7091d42ad40f8e728076f66afe9c6ff78e3e0bce0a0f5e0c8858dcd7e71a6e12
control,r1,classic,152021,3,9,0.3333333333333333,1,144,0,0.3690123558044433,2.173900604248047,975e212efa0d2aded797836fafdeed5391e8a2bd91afe4c0343e1d5d3602bc84,True,0.15989542007446286,0.3218650817871094,975e212efa0d2aded797836fafdeed5391e8a2bd91afe4c0343e1d5d3602bc84
control,r1,classic,152022,0,9,0.0,0,400,0,0.1689672470092772,0.8840560913085938,afbb88b795e14328ac46f6d648ddadc024efd9163eb71c1b9f90c6eb379d340e,True,0.12402534484863277,0.2970695495605469,afbb88b795e14328ac46f6d648ddadc024efd9163eb71c1b9f90c6eb379d340e
control,r1,classic,152023,0,9,0.0,0,400,0,0.2835035324096675,1.2657642364501953,3ef32018119c9cab06df9129ff1c77334593c6a9522828bdda890c241e3a40db,True,0.1471996307373046,0.26702880859375,3ef32018119c9cab06df9129ff1c77334593c6a9522828bdda890c241e3a40db
control,r1,classic,152024,2,9,0.2222222222222222,0,400,0,0.26946067810058566,0.579833984375,151d4ae8c9615cfeb334f7e5d30e18f13386cf3c249fbe64388651cbb5ed0b15,True,0.22201538085937494,0.5249977111816406,151d4ae8c9615cfeb334f7e5d30e18f13386cf3c249fbe64388651cbb5ed0b15
control,r1,classic,152025,0,9,0.0,0,400,0,0.1835465431213375,0.9868144989013672,6316d2b9c190e97244ad0371abc91ed6b15160409001ce85f700c54a06f2dbe1,True,0.27855634689331005,0.7686614990234375,6316d2b9c190e97244ad0371abc91ed6b15160409001ce85f700c54a06f2dbe1
control,r1,classic,152026,2,9,0.2222222222222222,0,400,0,0.27149915695190413,1.0769367218017578,cb81007a27d34cba92c2590336481a6e54cd012e62a5493eacd1e41766a10fae,True,0.1612663269042968,0.4630088806152344,cb81007a27d34cba92c2590336481a6e54cd012e62a5493eacd1e41766a10fae
control,r1,classic,152027,1,9,0.1111111111111111,0,400,0,0.2800583839416502,0.6229877471923828,c25c97314774f6c9d968dcccf825b7f88cc9ef2c1f2b764e686d8b8613d1d307,True,0.18615722656249983,1.1000633239746094,c25c97314774f6c9d968dcccf825b7f88cc9ef2c1f2b764e686d8b8613d1d307
