treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r5,coin-heaven,204413,304413,1.0,0,0,50,0,0.22082328796386716,0.3058910369873047,813c11dca782eb660faab0523cd94dfa343a1ac8814c31af3d57b3ecd781e320,True
control,r5,coin-heaven,204414,304414,1.0,0,0,50,0,0.15642642974853513,0.43702125549316406,e09732464d1857b3ab604a263cd4248b6b7868b928d1e8b9cc79f432cb89487c,True
control,r5,coin-heaven,204415,304415,0.04,0,1,2,0,0.22083520889282227,0.22411346435546875,ae50dce16d5d81688cb94e7d1cb17afa89e4f369d4720ccc774e519f993cab6e,True
control,r5,coin-heaven,204416,304416,1.0,0,0,50,0,0.20694732666015625,0.5230903625488281,f593ca3873e24b562096d74676b00c1c5fdd0ffd09926ad39e79c9ed1824b364,True
control,r5,coin-heaven,204417,304417,1.0,0,0,50,0,0.1276731491088867,0.2238750457763672,31f9f4ecd350465e02ccfd798734df41f52427b5ceb47903d120735242ef69c9,True
control,r5,coin-heaven,204418,304418,1.0,0,0,50,1,0.20568370819091794,0.28896331787109375,6407894de32a13c45a27719578193f68ce5b578f52c9bb0e0e5b945bbda8cbc8,True
control,r5,coin-heaven,204419,304419,0.02,0,1,1,0,0.18405914306640625,0.1881122589111328,ae50dce16d5d81688cb94e7d1cb17afa89e4f369d4720ccc774e519f993cab6e,True
control,r5,coin-heaven,204420,304420,1.0,0,0,50,0,0.14978647232055659,0.32591819763183594,a7cc0a1b472af91bae400ccc1ed5cb6640c0f0ce9a1668786badca720ca8e2d1,True
control,r5,loot-crate,204501,304501,0.52,0,0,26,11,0.21834373474121077,0.43892860412597656,0305c30efb037b71ff8d4603358b491deb85b1ec5be09ab5c4c629785a299ba6,True
control,r5,loot-crate,204502,304502,0.24,0,0,12,0,0.1581192016601562,0.3669261932373047,0c6e590e0534348ff26b1b86dec408fa4e25d288c4a19cb8473d236d53891615,True
control,r5,loot-crate,204503,304503,0.22,0,0,11,4,0.15001296997070307,0.31113624572753906,d7b25aa9d6873b26b8d63ac03a710b483ad0aeb61c444f69a8dc7ceec444e8cd,True
control,r5,loot-crate,204504,304504,0.58,0,0,29,7,0.19625425338745114,1.116037368774414,b73b2c90c8f928ad8bffe2cac551bfc5afcd19212802ca5cf3d8cc0030358ceb,True
control,r5,loot-crate,204505,304505,0.28,0,0,14,3,0.17126798629760734,0.36787986755371094,108cbeb9371bd4afca4a4ef0f9ee02ebb8ef777de025142f7ec92c3273b718df,True
control,r5,loot-crate,204506,304506,0.36,0,0,18,31,0.19507408142089838,0.3132820129394531,b3029ed55f12170454e8c2f0430837a9c41f0ba29a8b29bd140c66dd1394174e,True
control,r5,loot-crate,204507,304507,0.24,0,0,12,11,0.1578927040100097,0.3349781036376953,598690b9fb2035f5777c9111fe7090d796b93664260002227050bc8daf412730,True
control,r5,loot-crate,204508,304508,0.1,0,1,5,1,0.16074180603027333,0.3139972686767578,a9248e42dc0af5e506ed21ffb8bb6a2f1763d51d5621702fff5f9efc601cd573,True
control,r5,loot-crate,204509,304509,0.52,0,0,26,7,0.20017623901367174,0.33092498779296875,1a8b0e1527ba9fc87aede1b25753cbbadee973418cb4ab6a2a88600214ebd431,True
control,r5,loot-crate,204510,304510,0.06,0,0,3,2,0.18161535263061507,0.2932548522949219,aaaf47dff9c5928dadaecaaf350d45f10acf72f9564c78227098b5acb6b761fb,True
control,r5,loot-crate,204511,304511,0.6,0,0,30,14,0.25068521499633734,0.3943443298339844,38039c4eea41224357601335d8f410ebbc353c8253ee220dd5d8f9b0baacbb83,True
control,r5,loot-crate,204512,304512,0.36,0,0,18,4,0.1850485801696777,0.5319118499755859,21ea966185fa64a5ef3656bc20e2f420885c6c98c6f4a19c7037dceb8acddbf8,True
control,r5,loot-crate,204513,304513,0.34,0,0,17,32,0.29375553131103516,0.8080005645751953,886e9e8ba0e986eb0f01e7e5d9dc8efa10884366b69729c839ca43027f799efb,True
control,r5,loot-crate,204514,304514,0.2,0,0,10,31,0.1892685890197752,0.5130767822265625,ea51b963f1d2c994cbc655ce625f2307aaad1c8dea8cbf6674aec30d47c8be16,True
control,r5,loot-crate,204515,304515,0.4,0,0,20,29,0.2781391143798827,0.7119178771972656,981db3b0ce2b914d06fef82e7aee69f5874a06f4b289a7a4e38e7c77b9c86951,True
control,r5,loot-crate,204516,304516,0.14,0,0,7,1,0.1919269561767578,0.6070137023925781,c9d2d8f7de7925d840a271d5eedef558d35f85b66d1bb024ce2efd4248a6130b,True
control,r5,loot-crate,204517,304517,0.42,0,0,21,10,0.2007603645324707,0.6227493286132812,4b76df1426d0f111f5a9fd9d66be093766799f2158215060cd29e96c1b7f0519,True
control,r5,loot-crate,204518,304518,0.06,0,0,3,2,0.23512840270996088,0.8139610290527344,e1afb091893c7b65f9f6f9376c6648f75226bd706be1454421ce293f4f42748d,True
control,r5,loot-crate,204519,304519,0.12,0,0,6,36,0.26397705078124994,0.7212162017822266,f46be4d6876e3043bafaad260e2f74fb68ae0009a909750658f1c4f5de00bea4,True
control,r5,loot-crate,204520,304520,0.12,0,0,6,2,0.5953550338745113,1.6679763793945312,dcafe272cecfe8a04e7e01993147df368f92d2699deaeef0fbd3e38fbc216235,True
candidate,r1,peaceful,204101,304101,0.1111111111111111,0,1,1,6,0.9130835533142093,1.9731521606445312,7004eeedb5cf54acee899f7eff87e5a5a614959fb5167d1a1607be303217dcc2,True
candidate,r1,peaceful,204102,304102,0.7777777777777778,0,0,7,3,0.9702324867248532,2.9897689819335938,20389d7495f2e89440685d0a6c74093f75a177bd0c69d969f2105fa173746ae4,True
candidate,r1,peaceful,204103,304103,0.6666666666666666,0,0,6,9,1.3373613357543934,4.231929779052734,b0b128996c430da5ea581f6bf6cbf9e63a5e20291f7487dbc7ba9a221191fd4a,True
candidate,r1,peaceful,204104,304104,0.5555555555555556,1,0,10,6,1.0339975357055662,1.4350414276123047,67cb4795fe57e56527f248b23cd7133b4e3b58856f6aa3a08972cddc83d8ee6e,False
candidate,r1,peaceful,204105,304105,0.4444444444444444,0,0,4,5,1.758527755737304,4.544973373413086,138dfd35bf6e5fc01ec3036bfeec21460b64bde79504f4ff21b2a85bb87cd359,True
candidate,r1,peaceful,204106,304106,0.2222222222222222,0,0,2,2,1.1712312698364256,2.552032470703125,85be4abd6a8dcabb7621c85d8020bbc1371fd5d6074fc64a3ed5d50a88e966e6,True
candidate,r1,peaceful,204107,304107,0.1111111111111111,0,0,1,1,0.8129358291625975,1.4650821685791016,e31da5161f180b95e7abef35e5ff20d474e3feefa64403b48b1851b1f101574e,True
candidate,r1,peaceful,204108,304108,0.4444444444444444,0,0,4,3,1.04994773864746,2.1991729736328125,e7e7f9a08b9627705bb58fc1264373fd7146d52df23588de4a419a5caead93b8,True
candidate,r1,peaceful,204109,304109,0.3333333333333333,1,0,8,6,0.9060502052307129,2.0558834075927734,3ea46186ca813b264826ea101df119ec9f6e13db2f540cae0d31490395feb20b,False
candidate,r1,peaceful,204110,304110,0.1111111111111111,0,0,1,18,0.7198214530944818,3.2787322998046875,6de2af92b0a64ef1cba892274595ec251108feafb05a8998f1f73e272f9ce6aa,False
candidate,r1,peaceful,204111,304111,0.4444444444444444,1,0,9,8,0.9287834167480461,2.79998779296875,507bebf161f625546fd8db57dd5725ca3d091a49edb65f26464136f5740e1b23,False
candidate,r1,peaceful,204112,304112,0.1111111111111111,0,0,1,2,0.8638262748718246,8.387088775634766,048ed805d893ce79ab05689a785767170dcd9016cfa0a68eacd2846a259acef7,True
