model,training_world_seed,agent_seed,training_episodes,training_duration_seconds,evaluation_episodes,mean_coins,mean_collection_fraction,std_collection_fraction,full_clear_count,full_clear_rate,zero_coin_count,zero_coin_rate,total_coins,steps_per_coin,coins_per_100_steps,invalid_actions,attempted_actions,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,decision_count,decision_time_p95_ms,max_decision_time_ms,model_sha256
run-01,15001,25001,10000,8486.624962100002,40,38.55,0.7710000000000001,0.29372759052546876,16,0.4,0,0.0,1542,7.573929961089494,13.203185204212689,5392,11679,0.46168336330165255,2137,956,7642,940,4,0,11679,0.46374797821044933,63.14539909362793,f89d5f7236ffe85b99faf29f44a1c15163f54896a5339deabaade8c533adb993
run-02,15002,25002,10000,8548.6927019,40,40.825,0.8164999999999999,0.2606062950614222,12,0.3,0,0.0,1633,7.785058175137784,12.845119169354204,4,12713,0.0003146385589554,3945,2362,4017,2383,6,0,12713,0.3848075866699219,35.9652042388916,1d8f2bc9c33d775b59595f0b5ae0978078e2f2fe3571a9a1299748a042857924
run-03,15003,25003,10000,8231.516527200001,40,46.05,0.921,0.17505749971117548,28,0.7,0,0.0,1842,4.5814332247557,21.82723071453964,2598,8439,0.3078563810878066,1129,1175,3807,1110,1218,0,8439,0.4057884216308594,2.256155014038086,791f5a0b8bd9723709b739c5eff786480db6d38b13a4d72f99d499ae64ae19de
run-04,15004,25004,10000,9317.181913799985,40,45.75,0.9149999999999998,0.22057035623873408,30,0.75,0,0.0,1830,4.293989071038252,23.288368541613643,6,7858,0.0007635530669381522,1411,2495,1475,2473,4,0,7858,0.40749311447143544,64.57805633544922,d6b5a04623c3795b8c4e934c010292e94dec4430f7659bbb49657952af12b38e
run-05,15005,25005,10000,9769.191987700004,40,32.675,0.6535,0.3371794774300476,6,0.15,1,0.025,1307,11.000765110941087,9.0902768117958,1681,14378,0.11691473083878147,1755,3829,1792,5558,1444,0,14378,0.39577484130859375,68.99023056030273,20cec58f309e5d3edd26db331e2da937660ff2fae4baa80831cc1fbb3d312465
aggregate,,,50000,44353.20809269999,200,40.77,0.8153999999999999,0.2791783349645309,92,0.46,1,0.005,8154,6.753372577875889,14.807416419997457,9681,55067,0.1758040205567763,10377,10817,18733,12464,2676,0,55067,0.46374797821044933,68.99023056030273,
