scenario,treatment,episodes,mean_collection_fraction,survival_rate,self_kill_rate,invalid_action_rate,mean_coins,mean_crates_destroyed,mean_survival_steps,steps_per_coin,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms
classic,control,50,0.026666666666666665,0.48,0.52,0.12325925925925926,0.24,5.6,202.5,843.75,1286,1688,1671,1637,3701,142,0,0.5863308906555176,1.3465523719787595,4.0493011474609375
classic,survival_rebalance,50,0.035555555555555556,0.44,0.56,0.1423883125132331,0.32,6.48,188.92,590.375,1889,1702,2326,1675,1673,181,0,0.606536865234375,1.863718032836914,4.5623779296875
classic,safety_bomb,50,0.031111111111111107,0.26,0.74,0.27197346600331673,0.28,6.86,120.6,430.7142857142857,1845,564,1509,106,1846,160,0,0.5949139595031738,1.4429688453674316,8.073568344116211
coin-heaven,control,50,0.0916,0.92,0.08,0.531216128332972,4.58,0.0,369.04,80.5764192139738,2823,5039,3217,4198,3154,21,0,0.6170272827148438,1.163697242736816,5.062341690063477
coin-heaven,survival_rebalance,50,0.092,0.76,0.24,0.30498399634202106,4.6,0.0,306.18,66.56086956521739,3600,2629,2030,1841,5153,56,0,0.594019889831543,1.5790462493896482,4.793405532836914
coin-heaven,safety_bomb,50,0.0644,0.86,0.14,0.4834993052339046,3.22,0.0,345.44,107.27950310559007,2279,3228,2680,4753,4320,12,0,0.6083846092224121,1.2453198432922359,9.114742279052734
loot-crate,control,50,0.018000000000000002,0.52,0.48,0.11534909493904691,0.9,4.26,216.56,240.62222222222223,1273,1869,1298,1459,4811,118,0,0.5934238433837891,1.7384529113769522,5.903959274291992
loot-crate,survival_rebalance,50,0.026000000000000002,0.32,0.68,0.18127574939622104,1.3,5.1,140.78,108.29230769230769,1462,2094,1142,1356,843,142,0,0.5810260772705078,1.7876267433166502,3.9916038513183594
loot-crate,safety_bomb,50,0.0164,0.24,0.76,0.37356430050837885,0.82,4.34,106.22,129.53658536585365,466,894,1298,459,2087,107,0,0.6147623062133789,2.0653843879699703,5.303382873535156
