candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
halved-r3@2000,survived,120,0.1833,0.0583,0.3
halved-r3@2000,collection_fraction,120,0.0843,0.0528,0.1157
halved-r3@4000,score,120,1.7667,1.1917,2.3417
halved-r3@4000,kills,120,0.1333,0.05,0.2167
halved-r3@4000,self_kills,120,-0.25,-0.3667,-0.1333
halved-r3@4000,survived,120,0.1833,0.075,0.2917
halved-r3@4000,collection_fraction,120,0.1222,0.0861,0.1565
halved-r3@6000,score,120,0.9083,0.4417,1.35
halved-r3@6000,kills,120,0,-0.0667,0.075
halved-r3@6000,self_kills,120,-0.2417,-0.3667,-0.1167
halved-r3@6000,survived,120,0.2,0.075,0.325
halved-r3@6000,collection_fraction,120,0.1009,0.0667,0.1352
halved@2000 (pooled),score,120,0.9083,0.5,1.2917
halved@2000 (pooled),kills,120,0.0167,-0.0444,0.0722
halved@2000 (pooled),self_kills,120,-0.2361,-0.3333,-0.1361
halved@2000 (pooled),survived,120,0.225,0.1306,0.3167
halved@2000 (pooled),collection_fraction,120,0.0917,0.0636,0.1182
halved@4000 (pooled),score,120,1.3361,0.9139,1.7444
halved@4000 (pooled),kills,120,0.0694,0.0083,0.125
halved@4000 (pooled),self_kills,120,-0.2306,-0.3333,-0.1306
halved@4000 (pooled),survived,120,0.1833,0.0889,0.2778
halved@4000 (pooled),collection_fraction,120,0.1099,0.0784,0.1417
halved@6000 (pooled),score,120,1.1333,0.75,1.4944
halved@6000 (pooled),kills,120,0.0306,-0.0333,0.0861
halved@6000 (pooled),self_kills,120,-0.2694,-0.3639,-0.1722
halved@6000 (pooled),survived,120,0.2167,0.1167,0.3111
halved@6000 (pooled),collection_fraction,120,0.109,0.0812,0.1352
