model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,primary,31019,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.9719026000093436,1,1,DagobertDuckDQN,evaluation,132,132,50,50,0,132,0.0,True,survived,26,38,30,37,1,0,0,0.2124309539794922,0.48048496246337885,1.2090206146240234,,,,,,,,,
run-01,primary,31020,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.091660899997805,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,36,28,47,28,0,0,0,0.21028518676757812,0.4182815551757812,0.9350776672363281,,,,,,,,,
run-01,primary,31021,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.107708099996671,1,1,DagobertDuckDQN,evaluation,126,126,50,50,0,126,0.0,True,survived,27,43,27,29,0,0,0,0.2275705337524414,0.5424022674560547,1.5377998352050781,,,,,,,,,
run-01,primary,31022,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.05714329998591,1,1,DagobertDuckDQN,evaluation,109,109,50,50,0,109,0.0,True,survived,26,34,28,21,0,0,0,0.23412704467773438,0.6044387817382809,2.1147727966308594,,,,,,,,,
run-01,primary,31023,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.016943700000411,1,1,DagobertDuckDQN,evaluation,141,141,50,50,0,141,0.0,True,survived,33,42,34,32,0,0,0,0.2315044403076172,0.4620552062988281,1.2919902801513672,,,,,,,,,
run-01,primary,31024,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.027953800003161,1,1,DagobertDuckDQN,evaluation,134,134,50,50,0,134,0.0,True,survived,28,39,34,33,0,0,0,0.22220611572265625,0.4546761512756347,1.041412353515625,,,,,,,,,
run-01,primary,31025,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.309798500005854,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,38,32,29,32,0,0,0,0.20503997802734375,0.5517005920410156,1.3933181762695312,,,,,,,,,
run-01,primary,31026,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.183861800003797,1,1,DagobertDuckDQN,evaluation,118,118,50,50,0,118,0.0,True,survived,26,29,33,29,1,0,0,0.20992755889892578,0.42550563812255837,0.9551048278808594,,,,,,,,,
run-01,primary,31027,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.147146400006022,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,25,33,39,33,1,0,0,0.2079010009765625,0.49626827239990234,1.4367103576660156,,,,,,,,,
run-01,primary,31028,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.9579383000091184,1,1,DagobertDuckDQN,evaluation,120,120,50,50,0,120,0.0,True,survived,31,28,29,32,0,0,0,0.21731853485107422,0.41959285736083973,0.9431838989257812,,,,,,,,,
