replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,survived,first_place,tied_first,placement,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r5,mixed,228602,328602,0.0,0,0,0,True,0,0,3,6,2.445375919342039,4.262208938598633,a7b9f22cc4c11a307e53775cb55317c89ab8e74ce65f123f310387ad8939f194,False
r5,mixed,228603,328603,0.0,1,1,5,False,0,0,3,10,1.1051535606384277,1.920938491821289,dff788c322b0912534567c1e82acf62d84f8e3146983a80dc254ecd521012dfd,False
r5,mixed,228604,328604,0.1111111111111111,0,0,1,True,0,0,2,16,1.1013150215148924,2.972841262817383,e33830fdc2f98370b49dfd9921f9dffe7bda3d5c12c17c20147d3bf2a30025aa,False
r5,mixed,228605,328605,0.1111111111111111,0,1,1,False,0,0,3,1,1.0533452033996578,6.448030471801758,5b38456006f90f7319f5b6b899350261e3bb710a82ad6806a5b935341e0c09da,False
r5,mixed,228606,328606,0.0,0,0,0,True,0,0,3,4,1.8106222152709956,3.596067428588867,76939d423582c27bb5547f9fa0bad9d5d2b08aec22d22cfeedaaa3c84a3bbf86,False
r5,mixed,228607,328607,0.2222222222222222,0,1,2,False,0,0,3,7,2.010071277618408,3.2460689544677734,3a005246393ab041949af2bc84f4ea18a509c5754c9525962af85eefd952c708,False
r5,mixed,228608,328608,0.3333333333333333,0,1,3,False,0,0,3,5,0.7788181304931637,1.0390281677246094,9a2ae56b5cb765efb910e1666843b17e616fa8620745de569519489d25b9b171,False
r5,mixed,228609,328609,0.1111111111111111,0,0,1,True,0,0,3,14,0.4909038543701172,0.5970001220703125,cba0b63d86530fa7474c81a355ee8cc4f8fadb24e4569cc45c95a92f30c748ba,False
r5,mixed,228610,328610,0.2222222222222222,0,1,2,False,0,0,2,6,0.3312110900878907,0.38623809814453125,7ff119d77647e54f56f30d2cf5227892f1ae618a7117ad71c478043876508308,False
r5,mixed,228611,328611,0.1111111111111111,1,0,6,True,1,0,1,22,0.6230354309082031,0.7829666137695312,4678e1cd340394d8ffd23fa51896bf32926a11d031c166c709f5fa3f060379a2,False
r5,mixed,228612,328612,0.1111111111111111,0,0,1,True,0,0,3,16,0.6823062896728513,0.9250640869140625,2ab89db963161f97a034ea72091e8d060b513860e40a9817e3ab3515c819f1ea,False
r5,mixed,228613,328613,0.3333333333333333,0,1,3,False,0,0,2,5,0.37962198257446284,0.4298686981201172,e5e0adb4049dad48765d05dc4e9739dd6e6877016e078f9a147454aa1a865d74,False
r5,mixed,228614,328614,0.0,0,1,0,False,0,0,3,2,0.481104850769043,0.8258819580078125,ac472ae1adbc14c32293bc0e5ba23be806fae6f5a00d4c9adaf95318fd2192a3,False
r5,mixed,228615,328615,0.1111111111111111,0,0,1,False,0,0,3,7,0.43392181396484375,0.4782676696777344,308c22e5d57bb1f15e2ea319f3886ff6b54a8974f5198d51cf920f841d959db5,False
r5,mixed,228616,328616,0.5555555555555556,0,0,5,False,0,0,3,10,0.3646612167358398,0.42891502380371094,2af4ebcd21659eb832eb9acb696ed82947b7d029a9e99177d8ea053dd664a749,False
r5,mixed,228617,328617,0.2222222222222222,0,1,2,False,0,0,2,10,0.4522085189819335,0.5638599395751953,095a358c6aecc8619704a864d59e8944bef8763168f93145fb818eb7c353fd82,False
r5,mixed,228618,328618,0.0,0,1,0,False,0,0,3,5,0.32901763916015625,0.4248619079589844,2728f2baa5e136b97ef20c3de12ee0321c53182b92a48416bb6cb029128ce0a3,False
r5,mixed,228619,328619,0.4444444444444444,0,0,4,True,0,0,2,16,0.3660082817077636,0.5407333374023438,3d6a365d108edee2590f1d6b4331b95019340a1a459f6a7286a2338205a03cc1,False
r5,mixed,228620,328620,0.2222222222222222,0,1,2,False,0,0,2,8,0.43158531188964844,0.5168914794921875,4e1677efc6bef02ee91e444532eefb9f01df49c20636a8764369b50b80eb08bc,False
r5,peaceful,228101,328101,0.1111111111111111,0,0,1,True,1,0,1,0,0.5100727081298827,0.6961822509765625,8b5fe73e649de96ceed6a040b8e3b77580fb437c1504dad104d828ecba874230,True
r5,peaceful,228102,328102,0.0,0,0,0,True,0,1,1,0,0.3083348274230954,0.5381107330322266,47d644b942d123afbad9dbfc55e3c3a08e3a3f28ce7b0bf576eba4b03515a0e0,True
r5,peaceful,228103,328103,0.0,0,0,0,True,0,1,1,3,0.41140317916870106,0.6048679351806641,09935349052a4a5822587fedca3cecf88558228f6bd00534f3a288d9cb48c421,True
r5,peaceful,228104,328104,0.1111111111111111,0,0,1,True,1,0,1,42,0.3778219223022459,0.6699562072753906,cc4b64fdf8caf81b1144fdcb0365ddddc32f462b9be6e8e2d1940b74f994f5cb,True
r5,peaceful,228105,328105,0.1111111111111111,0,0,1,True,1,0,1,1,0.3631114959716797,0.6742477416992188,06351ad3f0e2c84154b1c44078656836a352cbee6d77efe9d84e1016675512ca,True
r5,peaceful,228106,328106,0.0,0,0,0,True,0,1,1,25,0.3332614898681639,0.5078315734863281,82e413cd1fd446e4ae616fa33b12941d1799784becd4c2d69576072c682fbc12,True
r5,peaceful,228107,328107,0.3333333333333333,1,0,8,True,1,0,1,7,0.3892898559570311,0.5660057067871094,ca932eb1f02bc7985cc477d8ecd5c4a62eaa6a3a0c930d3fb26bf42d4cffafe9,False
r5,peaceful,228108,328108,0.1111111111111111,0,0,1,True,1,0,1,5,0.39318799972534174,0.6701946258544922,2905a5b4853c601b533400351412d33a000edbc1969ee0d45277bc7d0b3276e8,True
r5,peaceful,228109,328109,0.3333333333333333,0,0,3,True,1,0,1,6,0.4561424255371093,0.6909370422363281,f9b7e132fc300790e6d2dc28e803bdea48af3bdae1c2e3f78f775cd4a7d96b1e,True
r5,peaceful,228110,328110,0.0,0,0,0,True,0,1,1,2,0.29306411743164057,0.5712509155273438,38ea08ec1782419e20402dc4136a59b2fa4f09341b48329335787120c30f686a,True
r5,peaceful,228111,328111,0.1111111111111111,0,0,1,True,1,0,1,6,0.7151126861572265,0.8170604705810547,e061bf79bba98a7ad56359648608f80efbf77a6343cb78b6cbf78234cf00e377,True
r5,peaceful,228112,328112,0.1111111111111111,0,0,1,True,1,0,1,0,0.472474098205566,0.8339881896972656,276ca12d2f0f61908acd6283f2967f3b8ceab4737dce338291cb1534828265a7,True
r5,peaceful,228113,328113,0.0,0,0,0,True,0,1,1,0,0.30313730239868153,0.6108283996582031,efe936528fcbdb5a84458dcd628caf950b75cf134dff2eb60a5120454ae03e28,True
r5,peaceful,228114,328114,0.0,0,0,0,True,0,1,1,1,0.30903816223144526,0.4780292510986328,a9dfb10cf9f673f7c893f3a848b31a5c1cf19ce10498476c26f2ca4bf6a9776f,True
r5,peaceful,228115,328115,0.3333333333333333,0,0,3,True,1,0,1,9,0.46091079711914057,0.5538463592529297,ff99c1963a6c24b4e143ad422febc388d9bfb0cbe211396c7bfe66ab25d90503,True
r5,peaceful,228116,328116,0.0,0,0,0,True,0,1,1,0,0.4600524902343749,0.7169246673583984,c0e9059bcb2fc851fd003a21e42f0e445d94add4c2005eef03bc7aa174b188ea,True
r5,peaceful,228117,328117,0.1111111111111111,0,0,1,True,1,0,1,0,0.7053613662719714,7.8220367431640625,ee2df9699712ccf74d1c7eada7c58aa00e54dc7f5e8507132ed0c0b7035b2ffd,True
r5,peaceful,228118,328118,0.3333333333333333,1,0,8,True,1,0,1,7,0.5252957344055174,0.9529590606689453,ebe63a8d695c2c37111bb8ba3a029cc97475946f7a0e8ed56b0b584d623fd32a,False
r5,peaceful,228119,328119,0.0,0,0,0,True,0,1,1,0,0.3379106521606445,0.61798095703125,265119014efa62ca6984a1f49e4cd6893feb465cc7abf3f8663367ff04f27bb2,True
r5,peaceful,228120,328120,0.2222222222222222,1,1,7,False,1,0,1,6,0.5860447883605955,0.9710788726806641,4ac789974ea8c34249c36519ba948dda3967354ec7084681f477bc4e253f5e9f,False
r5,classic,228301,328301,0.3333333333333333,0,0,3,True,,,,48,0.5448937416076641,1.0099411010742188,0503a6e91d6fa3d1c73512a20c24ac5fdea86c06d2760c519c2435409db952dc,True
r5,classic,228302,328302,0.2222222222222222,0,0,2,True,,,,69,0.6521105766296378,3.197193145751953,5995cd51c64254708266e8cf9b8b3939c8e34315469b386f70150447e829836f,True
r5,classic,228303,328303,0.0,0,0,0,True,,,,1,0.5396842956542961,1.4371871948242188,99d8f9aa3c128d102ef70c4adec0908354c277b0c408f52934f966ec15566496,True
r5,classic,228304,328304,0.1111111111111111,0,0,1,True,,,,1,0.5305886268615719,0.8919239044189453,bed54b95b0774b47b427c32a7b83f795808fc039d03eb7eb525e2e6a1685668e,True
r5,classic,228305,328305,0.2222222222222222,0,0,2,True,,,,33,0.8332133293151852,1.7650127410888672,3ff71e1e5199da708e5d7f1b285b9dd4a6dd6ca0a8b5b5885e18a9f6ea454ff1,True
r5,classic,228306,328306,0.0,0,0,0,True,,,,0,0.49816370010375965,0.9617805480957031,c1014ebdb53fc914b4dc4d490b77892559b53d1e987fa3816f7ef8da188edea6,True
r5,classic,228307,328307,0.0,0,0,0,True,,,,32,0.8471727371215817,1.3089179992675781,6497cf29390296cacd26a4afd8a57a82fe536c601e5b9cd6cc65f80eec351ded,True
r5,classic,228308,328308,0.3333333333333333,0,0,3,True,,,,13,0.8123993873596188,1.1358261108398438,5431b179b75c8a79c55300a2e4e339cda28e5ed83b5b0c9796ceb5f185e4776e,True
r5,classic,228309,328309,0.2222222222222222,0,0,2,True,,,,23,0.7961273193359375,7.153987884521484,9ef9cffd5980e3a98416cd34a2710d83c5d2ab9b579fc2627a0b901f9a4eeb8f,True
r5,classic,228310,328310,0.0,0,0,0,True,,,,0,0.701344013214111,1.2180805206298828,f3f497550795799759569c6e43cf34d86cb75ad3faf916a266596a51d8f8b504,True
r5,classic,228311,328311,0.2222222222222222,0,0,2,True,,,,2,0.767982006072998,1.4309883117675781,4a6e085646f3b480639aa189e4d7ae41278ac2a6f448182ac9e699c3ae66d64b,True
r5,classic,228312,328312,0.4444444444444444,0,0,4,True,,,,3,0.7858037948608392,1.371145248413086,43c75604df25b86fbf6be5ca757eafecf248e2bb436984fb765fd712691eaa75,True
r5,classic,228313,328313,0.2222222222222222,0,0,2,True,,,,10,0.9791016578674315,2.153158187866211,890a72e55d57a88ab8bf3a9ddfa018d6009af9c1abdf015ec340d3380f9314aa,True
r5,classic,228314,328314,0.3333333333333333,0,0,3,True,,,,4,0.691080093383789,1.5950202941894531,1091d26e132cb4f3a9ebae790f44dde692977777b40963cb09af235e0d78dc8d,True
r5,classic,228315,328315,0.1111111111111111,0,0,1,True,,,,1,0.7308006286621094,11.389970779418945,fffd789d4ecbee2f3585fe13e8c165d07925a6ef0b21fc94ac9acd7b8c2c8641,True
r5,classic,228316,328316,0.1111111111111111,0,0,1,True,,,,0,0.7989406585693359,1.9099712371826172,700bc569bf91e304ba90c1dd763a238e21a2710b5155ca115bfa75470f132cc6,True
r5,classic,228317,328317,0.5555555555555556,0,0,5,True,,,,3,0.8168697357177734,2.0508766174316406,e9b69aa6c51cb03ae80a0dccf16a52e7f45437971369cb4fc7a96ef0d451334d,True
r5,classic,228318,328318,0.2222222222222222,0,0,2,True,,,,5,0.5351066589355468,0.9210109710693359,741f3742684fcfa39ab3278bfae5c652c29c095d980140f9a1ce6680fbc66500,True
r5,classic,228319,328319,0.1111111111111111,0,0,1,True,,,,5,0.3951072692871093,0.8449554443359375,6bf59511dbf9b4fb9d5c0ec3eae7b12b6edf3b4005a73f3c2f081c7561e9840c,True
r5,classic,228320,328320,0.1111111111111111,0,0,1,True,,,,5,0.26607513427734375,0.6101131439208984,afea6626bb4124d75462d6ec20c3a6c8262252fb04805acafa236e08a5edc179,True
r5,coin-heaven,228401,328401,1.0,0,0,50,True,,,,0,0.20623207092285115,0.2989768981933594,dabd49032bd36083229a248dd885fa15e295276441c811692577ee705fb19620,True
r5,coin-heaven,228402,328402,1.0,0,0,50,True,,,,0,0.22529363632202154,0.2961158752441406,f8058785096a78cf22ec63e3b90422f5652d4a778d26968aa5801e56a897dee7,True
r5,coin-heaven,228403,328403,1.0,0,0,50,True,,,,0,0.31062364578247054,0.38695335388183594,727361e1fd3271789b18bb4799b2a99e6bfe03c78f8e3744419be366c3c37a65,True
r5,coin-heaven,228404,328404,1.0,0,0,50,True,,,,0,0.3060817718505857,0.4398822784423828,d328abea43fd04d39edcefe43cf3d60a2a1fcfc65b1f7b444751fd90965e5f34,True
r5,coin-heaven,228405,328405,1.0,0,0,50,True,,,,0,0.1963973045349121,0.29015541076660156,5fb7e2223248a60f4170d490c016dc351ff21ab3486f902622b3ed9288853cc6,True
r5,coin-heaven,228406,328406,1.0,0,0,50,True,,,,0,0.12731552124023438,0.2589225769042969,71e547683114cfa42a142ad216e3cb292c5beb36515dd1ff313d426b1828d247,True
r5,coin-heaven,228407,328407,1.0,0,0,50,True,,,,0,0.1308917999267578,0.24771690368652344,9e0d35d98461244f039f85c5b4ac96c7b26cbddcddb771f038b6f7fff74fd2aa,True
r5,coin-heaven,228408,328408,1.0,0,0,50,True,,,,0,0.20780563354492174,0.2772808074951172,cfaf0c022961bf2555e8468af3e26ea39844a73a67fd40086467271410c170ce,True
r5,coin-heaven,228409,328409,1.0,0,0,50,True,,,,1,0.20856857299804688,0.24008750915527344,630601516b9b8716cd555f61e554e010514f66a914e493581c6c7664a744d736,True
r5,coin-heaven,228410,328410,1.0,0,0,50,True,,,,0,0.21140575408935544,0.27823448181152344,717619a5036a93c617cb7450a3929f0c57e5b9803cc6ed7120e9e2b0723bc80b,True
r5,coin-heaven,228411,328411,1.0,0,0,50,True,,,,0,0.2072334289550781,0.3490447998046875,b6abac21080467d9632a574383aa8242f54a1dad273416b868b856a779bda3d4,True
r5,coin-heaven,228412,328412,1.0,0,0,50,True,,,,0,0.18658638000488273,0.35500526428222656,af16b7fcc0487cc0ba50ab4e9e88e70217401495d77180f30fb53673d5f7b510,True
r5,coin-heaven,228413,328413,1.0,0,0,50,True,,,,0,0.16741752624511708,0.29015541076660156,92962aef5460899296db1dd2c40bf0a9aa86534b6f84d531c45baebc50d0fc21,True
r5,coin-heaven,228414,328414,1.0,0,0,50,True,,,,0,0.4323124885559081,0.476837158203125,e1c24a61c50ab203d1014b01ed724a310fa2805f36a2a031120df8981cb82048,True
r5,coin-heaven,228415,328415,1.0,0,0,50,True,,,,0,0.252532958984375,0.3368854522705078,bb4f8a1ad4016551621b68a442b6a076e434d97002ca8d156233c8b1ba37f204,True
r5,coin-heaven,228416,328416,1.0,0,0,50,True,,,,0,0.19478797912597656,0.2989768981933594,99a3821dc0200d637ea6fb6e183cb57a020be5a8dab52fb95da90e505258b287,True
r5,coin-heaven,228417,328417,1.0,0,0,50,True,,,,0,0.24242401123046875,0.3228187561035156,d8b9fa6fec9c6682f9f039fae724701a1eb2baa3db27bd95080142f778675a22,True
r5,coin-heaven,228418,328418,1.0,0,0,50,True,,,,0,0.3066897392272946,0.4069805145263672,1dfbccb31bd0f41a09caea0c3ea38a8b51421c0a7253a302bd2c2909864b242c,True
r5,coin-heaven,228419,328419,1.0,0,0,50,True,,,,0,0.21352767944335935,0.2989768981933594,fd83e3418228a35c93180e9ed99718b088ac7384c907f331c66eba9bb81ebe6f,True
r5,coin-heaven,228420,328420,1.0,0,0,50,True,,,,0,0.39011240005493153,0.4622936248779297,ad3e4db02ca22f6f03f1626c2bbc4201a2805a5b51e124b34f653de4b8c0d429,True
r5,loot-crate,228501,328501,0.4,0,0,20,True,,,,14,0.3190517425537109,0.49304962158203125,d57570eea50ac7ca2eec861f1d078106ae2c222d6af7168e2cca6ba4f61bfb02,True
r5,loot-crate,228502,328502,0.22,0,0,11,True,,,,38,0.286281108856201,0.5919933319091797,2d7dbbf71109f4260aab303000d1db1c7d92fefcce55dd44804d6ccfe10252ec,True
r5,loot-crate,228503,328503,0.0,0,0,0,True,,,,26,0.326251983642578,0.8790493011474609,2f117161784dfc038266d887a5c75ea172a06065f12273b6d62847b9cf2f231e,True
r5,loot-crate,228504,328504,0.06,0,0,3,True,,,,101,0.22983551025390625,0.5118846893310547,59c21030db6fe1ef0f9115c44c07d68ca5f1e376a261d8cb6511f4e929065a7c,True
