schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,opponents_eliminated,opponent_count,score_margin,first_place,tied_first,arm,replica,suite,world_seed,agent_seed,artifact_sha256
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,0,0,9,0,12,5,,0,365,400,0.9125,True,step_limit,366a91dc6920e009f13a4abdebee071ead25b57183df66e3d5ad0d4e645cc7d8,371,4,7,3,10,5,0,2.559542655944824,2.9561519622802734,3.2753944396972656,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501111,2501111,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,1,1,9,1,18,54,,0,2,400,0.005,True,step_limit,959b8519648af95057062d44ba23eec7727d94c748265fb3e178106b34e2bb31,79,56,78,54,79,54,0,2.772808074951172,6.7115068435668945,8.091211318969727,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1501112,2501112,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,4,4,9,4,71,55,,0,7,400,0.0175,True,step_limit,ab6cfb21ac86a46af4ac02ab8629936674f878cd7413f05b0069c44916bfdb8f,60,59,70,58,91,62,0,3.334522247314453,7.6122522354125906,9.61756706237793,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1501113,2501113,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,171,2,2,9,3,75,24,,1,3,171,0.017543859649122806,False,killed,57cfd3536b1bae5ad6c423683170ba7ce6de1cf6dc80ece6adbab3dddb650dd4,23,21,35,29,36,27,0,2.336740493774414,7.283210754394531,10.355472564697266,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-primary,1501114,2501114,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,7,7,9,7,82,51,,0,6,400,0.015,True,step_limit,118f2aa5caaa63b0fccf9139b364e6b3d55133713d51dbae0c4b6fe7686e6ce7,79,65,69,56,79,52,0,3.26693058013916,8.896625041961666,11.398077011108398,,,,,,,,,,,,,,,,0,1,7.0,1,0,reference,frozen,classic-peaceful-primary,1501115,2501115,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,1,1,9,2,8,5,,0,2,400,0.005,True,step_limit,d7f7553e75245f6aa0d8304b4085bbb520663459387dea3685b22b912322f34e,187,5,188,5,8,7,0,2.386808395385742,2.505397796630859,3.040313720703125,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1501116,2501116,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,26,0,0,9,2,11,4,,1,4,26,0.15384615384615385,False,killed,5d30fbf8a6120583110e05f11043a159eff48481842096384997498b099ae6e2,4,3,4,6,3,6,0,1.0589361190795898,3.24094295501709,3.8034915924072266,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501117,2501117,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,10,5,9,5,75,55,,0,6,400,0.015,True,step_limit,07b6b2e24996f896c545294193d0199b0e1540f13f087ba75d3fd370b853fedf,62,60,70,58,89,61,0,3.1890869140625,7.796943187713621,11.549949645996094,,,,,,,,,,,,,,,,1,1,10.0,1,0,reference,frozen,classic-peaceful-primary,1501118,2501118,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,35,0,0,9,1,12,5,,1,3,35,0.08571428571428572,False,killed,5973ede42e1c7cc536f9513ebd7f046b2a8b6195b6c0c61281e87d6db3518ea6,7,5,3,5,10,5,0,0.9133815765380859,2.8383970260620113,3.7796497344970703,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501119,2501119,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,2,2,9,2,37,11,,0,1,400,0.0025,True,step_limit,1f8c5f0b2094a7724e44acda57d25ee249361c2fc9fa76ecf9c3d14bb4ecd866,15,17,14,10,333,11,0,2.968311309814453,3.5167574882507293,7.484912872314453,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-primary,1501120,2501120,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,5,5,9,6,72,29,,0,191,400,0.4775,True,step_limit,6089ff55dc790a8f083a6501be8f51c21e6916bcf04eb9041c43d2e393d3fb33,218,24,43,38,46,31,0,3.1000375747680664,4.637181758880607,9.44662094116211,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-primary,1501121,2501121,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,4,4,9,4,56,50,,0,15,400,0.0375,True,step_limit,4f7a09a0b714c5fe8dd66e554223d9d9b2813d58a1ca30c7a22580eae6b2e712,74,50,100,51,73,52,0,2.829313278198242,6.236827373504633,9.766817092895508,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1501122,2501122,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,11,6,9,6,90,53,,0,8,400,0.02,True,step_limit,5b26d3957b9d24a36f51ba854fa32a3e32acf48d14b4062d43e97ef298b23cdf,69,51,82,63,76,59,0,2.5502443313598633,7.134318351745605,11.867284774780273,,,,,,,,,,,,,,,,1,1,11.0,1,0,reference,frozen,classic-peaceful-primary,1501123,2501123,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,4,4,9,4,87,34,,0,9,400,0.0225,True,step_limit,9d17a3be2b33b64c2cd0d62bbb609eefcbbfcd5d078642ccbac7a68dd671c68e,37,27,52,35,210,39,0,2.771139144897461,5.393207073211662,9.810209274291992,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1501124,2501124,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,7,7,9,7,65,54,,0,7,400,0.0175,True,step_limit,92248d7fb7ccb38df0c34a6c95e777d95d0defc46958fe54c36694cf95f4d5c0,74,55,75,53,84,59,0,2.9218196868896484,7.8237175941467285,10.047674179077148,,,,,,,,,,,,,,,,0,1,7.0,1,0,reference,frozen,classic-peaceful-primary,1501125,2501125,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,1,1,9,2,6,2,,0,1,400,0.0025,True,step_limit,003310d3c9d3831672aa271f372bd80081a29315e76f8100820afe6154452201,193,3,195,3,4,2,0,1.3245344161987305,1.8646121025085447,2.341032028198242,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1501126,2501126,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,3,3,9,5,32,51,,0,42,400,0.105,True,step_limit,7f0960cc1260adec075549dab45f8153268789168dda0fe6ed7b69fca0c9c01c,57,130,54,88,18,53,0,4.6187639236450195,8.385348320007324,9.581804275512695,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1501127,2501127,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
