candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
halved-r3@2000,survived,120,0.175,0.075,0.2833
halved-r3@2000,collection_fraction,120,0.0769,0.0426,0.1111
halved-r3@4000,score,120,0.95,0.4833,1.45
halved-r3@4000,kills,120,0.0417,-0.0167,0.1083
halved-r3@4000,self_kills,120,-0.2083,-0.325,-0.1
halved-r3@4000,survived,120,0.1667,0.0667,0.275
halved-r3@4000,collection_fraction,120,0.0824,0.0472,0.1204
halved-r3@6000,score,120,1.0333,0.6,1.45
halved-r3@6000,kills,120,0.0167,-0.0417,0.075
halved-r3@6000,self_kills,120,-0.1917,-0.3167,-0.0667
halved-r3@6000,survived,120,0.2,0.0833,0.3167
halved-r3@6000,collection_fraction,120,0.1056,0.0704,0.1407
halved@2000 (pooled),score,120,1.025,0.6694,1.3778
halved@2000 (pooled),kills,120,0.0528,0.0083,0.0972
halved@2000 (pooled),self_kills,120,-0.2278,-0.3194,-0.1361
halved@2000 (pooled),survived,120,0.1972,0.1083,0.2833
halved@2000 (pooled),collection_fraction,120,0.0846,0.0565,0.112
halved@4000 (pooled),score,120,0.9806,0.6,1.3583
halved@4000 (pooled),kills,120,0.0389,-0.0056,0.0806
halved@4000 (pooled),self_kills,120,-0.2139,-0.3,-0.125
halved@4000 (pooled),survived,120,0.1806,0.1,0.2639
halved@4000 (pooled),collection_fraction,120,0.0873,0.0577,0.1179
halved@6000 (pooled),score,120,1.1222,0.7667,1.4583
halved@6000 (pooled),kills,120,0.0611,0.0111,0.1056
halved@6000 (pooled),self_kills,120,-0.1917,-0.2833,-0.0972
halved@6000 (pooled),survived,120,0.1889,0.1028,0.2722
halved@6000 (pooled),collection_fraction,120,0.0907,0.0611,0.1198
