schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,opponents_eliminated,opponent_count,score_margin,first_place,tied_first,arm,replica,suite,world_seed,agent_seed,artifact_sha256
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,8,8,9,8,89,53,,0,10,400,0.025,True,step_limit,8bbcc66c54db837b9f73362ea2163a5817fb4b53eb33f3aada9ec1221752c18c,77,56,66,68,76,57,0,5.510091781616211,14.871227741241437,20.251989364624023,,,,,,,,,,,,,,,,0,1,8.0,1,0,reference,frozen,classic-peaceful-primary,1631111,2631111,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,29,13,,0,0,400,0.0,True,step_limit,b2464f8a861f79897dc48747a6e4129309b9df4c165a111db8e67a6cc23e984c,11,12,22,12,330,13,0,3.0395984649658203,4.657399654388422,10.56218147277832,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1631112,2631112,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,17,42,,0,1,400,0.0025,True,step_limit,17128bcea9fe7a5255deb0d09aac1bbc1ae020b3d2c12bda56f61525e193637a,77,79,77,76,49,42,0,4.670143127441406,8.798182010650635,9.151935577392578,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1631113,2631113,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,10,5,9,5,65,55,,0,12,400,0.03,True,step_limit,f5f3a454a7598ec2a9eaa1531fdec7e5df4b51159523312fd92a01a316e0a56e,58,61,72,57,88,64,0,5.646347999572754,12.629830837249678,22.3848819732666,,,,,,,,,,,,,,,,1,1,10.0,1,0,reference,frozen,classic-peaceful-primary,1631114,2631114,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,75,75,8,3,9,4,40,10,,1,9,75,0.12,False,killed,09fffa75b9a617a66ccb48f89fbcea4de664b5877806f7e7166c123fb668163f,10,5,26,12,11,11,0,2.533435821533203,6.1949729919433585,11.231660842895508,,,,,,,,,,,,,,,,1,1,8.0,1,0,reference,frozen,classic-peaceful-primary,1631115,2631115,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,3,3,9,3,25,52,,0,0,400,0.0,True,step_limit,bc3cfafc7167167e0be586357596182fbf84134dfe84b16ecdd2a4395633a1c5,83,55,81,55,74,52,0,4.708647727966309,11.026537418365479,14.598369598388672,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1631116,2631116,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,2,2,9,2,22,11,,0,2,400,0.005,True,step_limit,5114932a4421a208fce39c62cc9113a5abf168cd35844f517d09202863ecb4a7,17,17,14,9,332,11,0,2.4164915084838867,4.592144489288323,10.251045227050781,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-primary,1631117,2631117,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,0,0,9,0,17,42,,0,1,400,0.0025,True,step_limit,35b3d84b3696067515c6d9439824988d269b8df520f6b574a0ecb82b536dcef4,78,78,76,76,50,42,0,4.717588424682617,8.594894409179688,10.346174240112305,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1631118,2631118,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,2,2,9,2,18,6,,0,2,400,0.005,True,step_limit,5c4987e252653ff81f13bf23470c88f0c433715a7104e1af99d0304247366f16,10,4,8,7,365,6,0,3.79025936126709,5.935239791870114,10.352849960327148,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-primary,1631119,2631119,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,10,5,9,5,74,54,,0,7,400,0.0175,True,step_limit,e4fa91f20b1ef201b95cfed0b273644ae3427565215cdbb78ad95a877b28e5ed,77,55,68,64,80,56,0,6.597757339477539,17.217516899108887,28.43928337097168,,,,,,,,,,,,,,,,1,1,10.0,1,0,reference,frozen,classic-peaceful-primary,1631120,2631120,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,4,4,9,4,67,55,,0,7,400,0.0175,True,step_limit,25f35656ecead0d25393bee02c75d0c62d0b149e6f9048f4229fbb47a4f9efd7,55,62,68,59,95,61,0,5.32078742980957,13.76427412033081,24.150371551513672,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-repeat,1631101,2631101,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,5,5,9,6,65,36,,0,2,400,0.005,True,step_limit,865d5d4997c290ecd06702946ed5fad5098ccf63bbdfe4badfdcc6ec650bb70b,116,35,106,46,61,36,0,4.971146583557129,10.406732559204084,19.009828567504883,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-repeat,1631102,2631102,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,35,55,,0,1,400,0.0025,True,step_limit,77f5686fa071f7a8e67525d9ae26e14e0d776b6ae9e68b4371b56d459a48d9d4,63,60,62,59,101,55,0,5.582571029663086,12.869644165039054,20.45464515686035,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-repeat,1631103,2631103,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,5,5,9,6,86,53,,0,6,400,0.015,True,step_limit,9d583f3ec8d8c8ef813000f911fd713d3831bb939bf8d4890b5c92ed1cc5872a,70,61,64,67,79,59,0,6.3152313232421875,16.31850004196167,26.776552200317383,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-repeat,1631104,2631104,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,0,0,9,0,0,0,,0,0,400,0.0,True,step_limit,868af88dd5c07040cd7792f609ea0a2881a121ba06feea67a096e0e58f5aa111,0,0,1,0,399,0,0,0.9938478469848633,1.7154335975646966,2.2428035736083984,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-repeat,1631105,2631105,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,11,6,9,6,69,40,,0,4,400,0.01,True,step_limit,1ec0613bbfcb2cd6266f0a7304a3ff337f240ccf931e409a7981b58af2f39650,44,47,57,41,168,43,0,4.2266845703125,12.86567449569702,24.266719818115234,,,,,,,,,,,,,,,,1,1,11.0,1,0,reference,frozen,classic-peaceful-repeat,1631106,2631106,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,3,3,9,3,32,16,,0,3,400,0.0075,True,step_limit,fc79ac766cf69af9e3b06ce1585aead874ab566bdc8eef58acba71cd97cb2ed2,22,21,21,17,302,17,0,4.935622215270996,7.698106765747055,16.916990280151367,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-repeat,1631107,2631107,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,6,6,9,6,99,53,,0,6,400,0.015,True,step_limit,119c32f039da61c43c433f9ca16e001782eab28b6e5df2da64893c0fdbc39fb5,66,56,76,54,90,58,0,6.259679794311523,15.83609580993651,25.287866592407227,,,,,,,,,,,,,,,,0,1,6.0,1,0,reference,frozen,classic-peaceful-repeat,1631108,2631108,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,159,4,4,9,4,39,21,,1,3,159,0.018867924528301886,False,killed,9e77cba3c230b7527d091352d96245b3da068bfefe0f266c201adfaff9a6044e,36,22,22,23,33,23,0,3.8919448852539062,11.259293556213377,20.702362060546875,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-repeat,1631109,2631109,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,135,3,3,9,4,56,18,,1,2,135,0.014814814814814815,False,killed,b96789fa95f8ac91b2c511316f7c690ab81beec971aad1c3548d5fabd51f5904,17,14,29,20,35,20,0,3.1838417053222656,11.197328567504881,18.9054012298584,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-repeat,1631110,2631110,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,8,8,9,8,89,53,,0,10,400,0.025,True,step_limit,8bbcc66c54db837b9f73362ea2163a5817fb4b53eb33f3aada9ec1221752c18c,77,56,66,68,76,57,0,5.823850631713867,16.942954063415506,27.529239654541016,,,,,,,,,,,,,,,,0,1,8.0,1,0,reference,frozen,classic-peaceful-repeat,1631111,2631111,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,29,13,,0,0,400,0.0,True,step_limit,b2464f8a861f79897dc48747a6e4129309b9df4c165a111db8e67a6cc23e984c,11,12,22,12,330,13,0,3.2885074615478516,5.582630634307856,14.405250549316406,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-repeat,1631112,2631112,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,17,42,,0,1,400,0.0025,True,step_limit,17128bcea9fe7a5255deb0d09aac1bbc1ae020b3d2c12bda56f61525e193637a,77,79,77,76,49,42,0,4.847049713134766,9.206628799438475,14.455318450927734,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-repeat,1631113,2631113,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,10,5,9,5,65,55,,0,12,400,0.03,True,step_limit,f5f3a454a7598ec2a9eaa1531fdec7e5df4b51159523312fd92a01a316e0a56e,58,61,72,57,88,64,0,6.375551223754883,14.332401752471922,25.56610107421875,,,,,,,,,,,,,,,,1,1,10.0,1,0,reference,frozen,classic-peaceful-repeat,1631114,2631114,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,75,75,8,3,9,4,40,10,,1,9,75,0.12,False,killed,09fffa75b9a617a66ccb48f89fbcea4de664b5877806f7e7166c123fb668163f,10,5,26,12,11,11,0,2.6166439056396484,6.908345222473144,11.230707168579102,,,,,,,,,,,,,,,,1,1,8.0,1,0,reference,frozen,classic-peaceful-repeat,1631115,2631115,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
