treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
control,r2,loot-crate,40,0.1885,9.425,0.0,0.0,0.725,329.25,329.25,34.93368700265252,2.8625664388762337,496,1242,1414,0.8783592644978784,0.3507779349363508,11,0.275,0.03781321184510251,2776,2455,2877,2368,1107,1587,0,0.8130073547363281,6.119966506958008
control,r3,classic,40,0.1388888888888889,1.25,0.0,0.425,1.0,400.0,400.0,320.0,0.3125,62,960,1753,0.5476326297775242,0.03536794067313177,0,0.0,0.02075,3215,3515,3476,3399,615,1780,0,1.1808037757873528,10.231971740722656
control,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.225,124.225,2.4845,40.249547192594086,0,0,0,,,0,0.0,0.0006037432078889113,1293,1156,1275,1240,5,0,0,0.6763458251953123,4.848003387451172
control,r3,loot-crate,40,0.17550000000000002,8.775,0.0,0.025,0.825,346.45,346.45,39.48148148148148,2.5328330206378986,474,1197,927,1.2912621359223302,0.511326860841424,7,0.175,0.051089623322268726,2251,3974,2320,3895,190,1228,0,1.0515332221984859,33.648014068603516
control,r4,classic,40,0.11666666666666665,1.05,0.0,0.5,0.95,383.625,383.625,365.35714285714283,0.27370478983382207,62,841,1687,0.4985180794309425,0.036751630112625965,2,0.05,0.02007168458781362,2434,3507,2438,3562,1503,1901,0,0.7683992385864253,16.286849975585938
control,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.575,124.575,2.4915,40.13646397752358,0,0,2,0.0,0.0,0,0.0,0.0006020469596628537,1294,1162,1281,1241,3,2,0,0.9305477142333984,4.613161087036133
control,r4,loot-crate,40,0.10250000000000001,5.125,0.0,0.125,0.9,363.65,363.65,70.9560975609756,1.4093221504193594,311,758,1055,0.7184834123222749,0.2947867298578199,4,0.1,0.022892891516568127,2580,3437,2643,3429,1198,1259,0,0.8323192596435545,5.502939224243164
control,r5,classic,40,0.13333333333333333,1.2,0.0,0.475,0.95,383.35,383.35,319.4583333333333,0.3130298682665971,63,1028,1908,0.5387840670859538,0.0330188679245283,2,0.05,0.016825355419329596,2559,3353,2401,3340,1744,1937,0,0.9787678718566895,3.871917724609375
control,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.275,124.275,2.4855,40.23335345001006,0,0,0,,,0,0.0,0.0006035003017501509,1293,1158,1278,1239,3,0,0,0.7781982421875,3.2739639282226562
control,r5,loot-crate,40,0.215,10.75,0.0,0.05,0.7,331.7,331.7,30.855813953488372,3.240880313536328,563,1383,1473,0.9389002036659878,0.3822131704005431,12,0.3,0.047934880916490806,2454,2800,2226,2883,1294,1611,0,1.1911988258361785,10.159015655517578
