candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
halved-r1@8000,kills,100,-0.02,-0.11,0.07
halved-r1@8000,self_kills,100,-0.16,-0.29,-0.04
halved-r1@8000,survived,100,0.02,-0.09,0.13
halved-r1@8000,collection_fraction,100,0.0689,0.0244,0.1133
halved-r2@2000,score,100,0.34,-0.26,0.93
halved-r2@2000,kills,100,-0.07,-0.15,0.01
halved-r2@2000,self_kills,100,-0.28,-0.4,-0.16
halved-r2@2000,survived,100,0.25,0.12,0.38
halved-r2@2000,collection_fraction,100,0.0767,0.0378,0.1144
halved-r2@4000,score,100,0.62,-0.06,1.31
halved-r2@4000,kills,100,0.03,-0.08,0.14
halved-r2@4000,self_kills,100,-0.11,-0.25,0.03
halved-r2@4000,survived,100,0.06,-0.06,0.19
halved-r2@4000,collection_fraction,100,0.0522,0.0122,0.0922
halved-r2@6000,score,100,0.69,-0.03,1.4
halved-r2@6000,kills,100,0.01,-0.1,0.12
halved-r2@6000,self_kills,100,-0.18,-0.32,-0.04
halved-r2@6000,survived,100,0.14,0,0.27
halved-r2@6000,collection_fraction,100,0.0711,0.0322,0.1122
halved-r2@8000,score,100,0.97,0.34,1.58
halved-r2@8000,kills,100,-0.01,-0.1,0.08
halved-r2@8000,self_kills,100,-0.21,-0.35,-0.08
halved-r2@8000,survived,100,0.15,0.03,0.28
halved-r2@8000,collection_fraction,100,0.1133,0.0733,0.1522
halved-r3@2000,score,100,0.44,-0.23,1.11
halved-r3@2000,kills,100,0.01,-0.09,0.11
halved-r3@2000,self_kills,100,-0.2,-0.33,-0.07
halved-r3@2000,survived,100,0.17,0.04,0.3
halved-r3@2000,collection_fraction,100,0.0433,0.0044,0.0822
halved-r3@4000,score,100,0.75,0.1,1.38
halved-r3@4000,kills,100,0,-0.1,0.1
halved-r3@4000,self_kills,100,-0.13,-0.25,-0.01
halved-r3@4000,survived,100,0.11,-0.01,0.23
halved-r3@4000,collection_fraction,100,0.0833,0.0444,0.1211
halved-r3@6000,score,100,0.82,0.18,1.46
halved-r3@6000,kills,100,-0.01,-0.1,0.08
halved-r3@6000,self_kills,100,-0.23,-0.37,-0.09
halved-r3@6000,survived,100,0.14,0,0.27
halved-r3@6000,collection_fraction,100,0.0967,0.0511,0.1411
halved-r3@8000,score,100,0.82,0.12,1.52
halved-r3@8000,kills,100,0.01,-0.09,0.11
halved-r3@8000,self_kills,100,-0.09,-0.22,0.03
halved-r3@8000,survived,100,0.07,-0.05,0.19
halved-r3@8000,collection_fraction,100,0.0856,0.0467,0.1244
halved@2000 (pooled),score,100,0.4733,-0.1133,1.04
halved@2000 (pooled),kills,100,-0.0133,-0.1,0.0667
halved@2000 (pooled),self_kills,100,-0.1933,-0.2933,-0.0933
halved@2000 (pooled),survived,100,0.1667,0.0633,0.2667
halved@2000 (pooled),collection_fraction,100,0.06,0.0274,0.0933
halved@4000 (pooled),score,100,0.69,0.1167,1.23
halved@4000 (pooled),kills,100,0.01,-0.0767,0.09
halved@4000 (pooled),self_kills,100,-0.1567,-0.26,-0.0533
halved@4000 (pooled),survived,100,0.12,0.02,0.22
halved@4000 (pooled),collection_fraction,100,0.0711,0.0385,0.1044
halved@6000 (pooled),score,100,0.6567,0.0633,1.2167
halved@6000 (pooled),kills,100,-0.0133,-0.0967,0.0667
halved@6000 (pooled),self_kills,100,-0.15,-0.2533,-0.0467
halved@6000 (pooled),survived,100,0.09,-0.0133,0.1867
halved@6000 (pooled),collection_fraction,100,0.0804,0.0467,0.1148
halved@8000 (pooled),score,100,0.77,0.2267,1.2867
halved@8000 (pooled),kills,100,-0.0067,-0.0833,0.0667
halved@8000 (pooled),self_kills,100,-0.1533,-0.2567,-0.0533
halved@8000 (pooled),survived,100,0.08,-0.0133,0.17
halved@8000 (pooled),collection_fraction,100,0.0893,0.0548,0.123
